IdExpediente,IdDistrito,Distrito,IdBarrio,Barrio,IdCalle,Calle,IdPostal,DiaSemana,Año,Mes,DiaMes,Hora,Turno,Causa_de_Accidente,NumMuertes,LesionadosLeves,LesionadosGraves,NumVictimas,NumVehiculos_Implicados,CoordenadaUTM_X,CoordenadaUTM_Y,Longitud,Latitud
2017S008429,-1,Desconocido,-1,Desconocido,-1,Número 27,Desconocido,Divendres,2017,Oct,13,8,Matutino,Otras,0,2,0,2,2,426936.65,4577079.15,2.12562442,41.34004482
2017S007316,-1,Desconocido,-1,Desconocido,-1,Número 3 Zona Franca / Número 50 Zona Franca,Desconocido,Divendres,2017,Sep,1,13,Matutino,No es causa del peatón,0,2,0,2,2,426503.22,4577014.83,2.12045245,41.33942606
2017S010210,-1,Desconocido,-1,Desconocido,-1,Litoral (Besòs),K128,Divendres,2017,Dic,8,21,Tarde,No es causa del peatón,0,5,0,5,2,430450.5,4579358.49,2.1673561,41.360885499999995
2017S006364,-1,Desconocido,-1,Desconocido,-1,Número 3 Zona Franca,77-111,Divendres,2017,Jul,21,2,Noche,No es causa del peatón,0,1,0,1,2,426842.33,4576816.19,2.12452894,41.33766786
2017S004615,10,Sant Martí,64,el Camp de l'Arpa del Clot,226400,Las Navas de Tolosa,0323 0325,Dijous,2017,May,25,14,Tarde,No es causa del peatón,0,1,0,1,3,432006.95,4585503.52,2.1852720000000003,41.416365
2017S007775,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria / Trinxant,0320 0322,Dimecres,2017,Sep,20,12,Matutino,No es causa del peatón,0,1,0,1,2,431822.92,4585470.94,2.183245,41.416336
2017S004484,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Trinxant / Indústria,0320 0322,Dissabte,2017,May,20,21,Tarde,No es causa del peatón,0,1,0,1,2,431822.92,4585470.94,2.183245,41.416336
2017S010680,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria,0303 0303,Dimarts,2017,Dic,26,20,Tarde,No es causa del peatón,0,2,0,2,1,431846.11,4585523.1,2.183561,41.416371999999996
2017S005152,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria,0317 0317,Dilluns,2017,Jun,12,15,Tarde,Otras,0,1,0,1,1,431894.47,4585568.41,2.184059,41.416763
2017S003932,10,Sant Martí,64,el Camp de l'Arpa del Clot,194406,Maragall,0011 0011,Dimecres,2017,May,3,20,Tarde,No es causa del peatón,0,1,0,1,1,431636.55,4585227.81,2.181225,41.413958
2017S010348,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria,0295 0295,Dijous,2017,Dic,14,20,Tarde,No es causa del peatón,0,1,0,1,2,431757.04,4585439.98,2.18229,41.415772
2017S000245,10,Sant Martí,64,el Camp de l'Arpa del Clot,224802,ST ANTONI M CLARET / Pg Maragall,0092 0092,Dimecres,2017,Ene,11,7,Matutino,No es causa del peatón,0,1,0,1,2,431715.17,4585325.84,2.180453,41.41579
