IdExpediente,Hora,Turno,Causa_de_Accidente,CoordenadaUTM_Y,CoordenadaUTM_X
2013S009145,8,Matutino,No hay causa mediata,4585368.61,432116.29
2013S005707,14,Tarde,No hay causa mediata,4585394.94,432113.76
2013S009354,20,Tarde,No hay causa mediata,4585434.72,431625.93
2013S008561,17,Tarde,No hay causa mediata,4585145.28,431315.37
2013S004796,12,Matutino,No hay causa mediata,4585145.28,431315.37
2013S003936,11,Matutino,No hay causa mediata,4585199.49,431549.59
2013S007405,13,Matutino,No hay causa mediata,4584878.95,431546.15
2013S000494,7,Matutino,No hay causa mediata,4584665.15,431943.56
2013S006591,12,Matutino,No hay causa mediata,4584558.04,431675.33
2013S002108,8,Matutino,No hay causa mediata,4584567.78,431682.81
2013S005840,18,Tarde,No hay causa mediata,4584619.91,431736.13
2013S009345,10,Matutino,No hay causa mediata,4584489.3,431794.83
2013S004454,13,Matutino,No hay causa mediata,4584867.9,431989.06
2013S000949,10,Matutino,No hay causa mediata,4584555.67,432060.89
2013S007928,19,Tarde,No hay causa mediata,4584405.56,432061.12
2013S005592,13,Matutino,No hay causa mediata,4584443.28,432099.2
2013S000071,18,Tarde,No hay causa mediata,4585306.82,432754.98
2013S009291,12,Matutino,No hay causa mediata,4585285.75,432752.43
2013S005671,9,Matutino,Alcoholemia,4586102.59,433031.75
2013S002021,13,Matutino,No hay causa mediata,4585589.59,432786.48
2013S000464,0,Noche,No hay causa mediata,4585478.87,433010.55
2013S007076,3,Noche,Alcoholemia,4585534.2,433066.85
2013S004061,15,Tarde,No hay causa mediata,4585534.2,433066.85
2013S002845,5,Noche,No hay causa mediata,4586055.38,433123.94
2013S008243,11,Matutino,No hay causa mediata,4584948.06,432230.35
2013S005615,10,Matutino,No hay causa mediata,4584721.08,432178.22
2013S001102,6,Matutino,No hay causa mediata,4584849.17,432310.2
2013S007004,15,Tarde,No hay causa mediata,4585017.02,432170.02
2013S002429,9,Matutino,No hay causa mediata,4585034.63,432170.24
2013S005085,7,Matutino,No hay causa mediata,4585079.13,432174.03
2013S003505,14,Tarde,No hay causa mediata,4585160.12,432449.86
2013S001715,0,Noche,No hay causa mediata,4585073.74,432606.16
2013S003745,23,Noche,No hay causa mediata,4585038.2,432461.48
2013S006503,14,Tarde,No hay causa mediata,4585038.2,432461.48
2013S004688,23,Noche,No hay causa mediata,4585166.49,432690.49
2013S003771,3,Noche,No hay causa mediata,4584795.68,432251.06
