IdExpediente,Hora,Turno,Causa_de_Accidente,CoordenadaUTM_X,CoordenadaUTM_Y,Longitud,Latitud
2017S009198,14,Tarde,No hay causa mediata,431940.75,4585401.48,2.184483,41.415436
2017S008278,12,Matutino,No hay causa mediata,431576.37,4585215.2,2.180149,41.41373
2017S008462,13,Matutino,No hay causa mediata,431384.99,4584870.55,2.177891,41.410606
2017S001826,4,Noche,Alcoholemia,431703.06,4584790.47,2.1817159999999998,41.409913
2017S009733,8,Matutino,No hay causa mediata,431877.03,4584413.1,2.183841,41.406532
2017S001624,20,Tarde,No hay causa mediata,431890.19,4584524.82,2.183984,41.407533
2017S005133,10,Matutino,No hay causa mediata,433330.95,4585862.62,2.201063,41.419705
2017S001569,15,Tarde,No hay causa mediata,431960.88,4584412.8,2.184834,41.40653
2017S007531,17,Tarde,No hay causa mediata,432229.7,4584197.87,2.1880759999999997,41.404617
2017S010616,11,Matutino,No hay causa mediata,431964.93,4584467.51,2.184875,41.407026
2017S008974,14,Tarde,No hay causa mediata,433169.99,4585881.12,2.199134,41.419863
2017S002287,9,Matutino,No hay causa mediata,432296.02,4584356.47,2.188859,41.406054
2017S003886,15,Tarde,No hay causa mediata,432036.77,4584333.52,2.185752,41.405825
2017S002046,10,Matutino,No hay causa mediata,432002.91,4584366.13,2.185341,41.406119
2017S010357,9,Matutino,No hay causa mediata,432656.47,4584684.32,2.19313,41.409039
2017S001696,16,Tarde,No hay causa mediata,432159.75,4584770.81,2.187174,41.409771
2017S004079,16,Tarde,No hay causa mediata,432568.12,4584553.24,2.192091,41.407851
2017S010563,15,Tarde,No hay causa mediata,432266.66,4584952.81,2.188434,41.41142
2017S006956,10,Matutino,No hay causa mediata,432441.43,4584724.2,2.190553,41.409380999999996
2017S010728,17,Tarde,No hay causa mediata,432102.65,4585012.86,2.186465,41.411946
2017S005517,22,Noche,No hay causa mediata,433578.16,4586258.88,2.2039869999999997,41.423292
2017S009427,6,Matutino,No hay causa mediata,434882.87,4584464.92,2.219784,41.407241
2017S003033,13,Matutino,No hay causa mediata,435119.93,4585013.26,2.2225599999999996,41.412205
2017S006954,7,Matutino,No hay causa mediata,434036.66,4586097.36,2.209485,41.42188
2017S003078,19,Tarde,No hay causa mediata,434651.99,4585174.61,2.216944,41.413616999999995
2017S005923,11,Matutino,No hay causa mediata,433552.26,4586444.3,2.203655,41.424965
2017S003328,9,Matutino,No hay causa mediata,433345.89,4585479.23,2.201285,41.416257
2017S010657,23,Noche,No hay causa mediata,433807.0,4585935.39,2.206763,41.420402
2017S003617,20,Tarde,No hay causa mediata,433325.06,4586516.86,2.200931,41.425595
2017S010006,17,Tarde,No hay causa mediata,433865.07,4585330.14,2.207523,41.414958
2017S004843,6,Matutino,No hay causa mediata,434579.17,4584909.22,2.216111,41.411224
2017S001898,14,Tarde,No hay causa mediata,434393.0,4585423.26,2.2138299999999997,41.415838
2017S008378,8,Matutino,No hay causa mediata,433480.42,4582953.45,2.203178,41.393516999999996
2017S000073,11,Matutino,No hay causa mediata,432842.66,4583443.77,2.195493,41.397877
2017S009655,6,Matutino,No hay causa mediata,432872.16,4584623.39,2.19572,41.408507
2017S009434,11,Matutino,No hay causa mediata,433580.94,4585460.09,2.2040990000000003,41.416105
2017S006828,19,Tarde,No hay causa mediata,433936.57,4585808.01,2.20832,41.419269
2017S002083,10,Matutino,No hay causa mediata,433319.7,4584815.14,2.201047,41.410274
2017S008289,19,Tarde,No hay causa mediata,433224.2,4585110.24,2.199878,41.412923
2017S001382,0,Noche,No hay causa mediata,433259.3,4585024.77,2.2003060000000003,41.412151
2017S010558,13,Matutino,No hay causa mediata,433348.96,4585184.79,2.2013529999999997,41.4136
2017S007565,19,Tarde,Alcoholemia,433781.4,4585607.25,2.206487,41.417445
2017S009997,19,Tarde,No hay causa mediata,433571.61,4584514.79,2.204095,41.407584
2017S006104,14,Tarde,No hay causa mediata,433804.42,4584237.59,2.206913,41.405108
2017S002121,18,Tarde,Alcoholemia,433362.93,4584025.82,2.201648,41.403162
2017S008268,0,Noche,No hay causa mediata,433581.25,4584473.37,2.2042189999999997,41.407215
2017S008181,14,Tarde,No hay causa mediata,433545.58,4582976.4,2.203953,41.393729
2017S003689,17,Tarde,No hay causa mediata,432594.57,4583362.12,2.192535,41.397127000000005
2017S005934,13,Matutino,No hay causa mediata,432053.1,4583022.74,2.186102,41.394019
2017S001665,21,Tarde,No hay causa mediata,432194.61,4583600.25,2.1877240000000002,41.399237
2017S000697,16,Tarde,No hay causa mediata,432225.16,4583407.86,2.188116,41.397501
2017S000808,17,Tarde,No hay causa mediata,432255.09,4582703.73,2.188554,41.391163
2017S003060,9,Matutino,No hay causa mediata,434803.19,4584402.67,2.218846,41.406676000000004
2017S006375,10,Matutino,No hay causa mediata,432767.63,4584157.17,2.194516,41.404301000000004
2017S010742,13,Matutino,No hay causa mediata,434797.41,4584868.43,2.2187240000000004,41.410872999999995
2017S006681,10,Matutino,No hay causa mediata,434152.97,4583877.72,2.211115,41.401894
2017S000858,10,Matutino,No hay causa mediata,430219.86,4581357.07,2.164358,41.378865000000005
2017S001968,13,Matutino,No hay causa mediata,430868.23,4580992.82,2.172161,41.375634000000005
2017S007999,10,Matutino,No hay causa mediata,430678.44,4580941.1,2.169895,41.375158
2017S003195,14,Tarde,No hay causa mediata,431323.44,4580839.66,2.177619,41.374295000000004
2017S000240,19,Tarde,No hay causa mediata,432733.92,4582842.06,2.194256,41.392455
2017S003707,3,Noche,No hay causa mediata,432984.67,4582402.62,2.197306,41.388513
2017S000458,13,Matutino,No hay causa mediata,432666.8,4582710.68,2.193469,41.391259999999996
2017S007650,16,Tarde,No hay causa mediata,432911.5,4582301.09,2.196445,41.387597
2017S004742,7,Matutino,No hay causa mediata,432860.49,4582519.09,2.19581,41.389556
2017S002335,16,Tarde,No hay causa mediata,431100.17,4581054.5,2.174928,41.376212
2017S002041,19,Tarde,No hay causa mediata,431378.72,4581504.33,2.178201,41.380289000000005
2017S000463,17,Tarde,No hay causa mediata,431502.1,4581468.02,2.179688,41.379976
2017S003208,21,Tarde,No hay causa mediata,431538.33,4581294.72,2.180138,41.378411
