IdExpediente,Turno,Hora,Causa_de_Accidente,Tipo_VehImplicado,Sexo,TipoPersona,Edad,SeriedadAcc,CoordenadaUTM_Y,CoordenadaUTM_X
2010S000001,Matutino,7,No es causa del peatón,Motocicleta,Home,Conductor,30,Herida leve,4583198.28,431179.27
2010S000001,Matutino,7,No es causa del peatón,Motocicleta,Home,Conductor,39,Herida leve,4583198.28,431179.27
2010S000002,Tarde,14,No es causa del peatón,Ciclomotor,Home,Conductor,39,Herida leve,4583631.60,431444.51
2010S000005,Tarde,20,No es causa del peatón,Motocicleta,Home,Conductor,34,Herida leve,4586479.84,432062.05
2010S000006,Tarde,21,No es causa del peatón,Turismo,Dona,Conductor,32,Herida leve,4582584.02,432826.97
2010S000007,Tarde,21,No es causa del peatón,Furgoneta,Home,Passatger,40,Herida leve,4583367.43,432412.50
2010S000007,Tarde,21,No es causa del peatón,Turismo,Home,Conductor,42,Herida leve,4583367.43,432412.50
2010S000008,Noche,0,No es causa del peatón,Ciclomotor,Home,Conductor,18,Herida leve,4583192.59,427666.92
2010S000008,Noche,0,No es causa del peatón,Ciclomotor,Home,Passatger,19,Herida leve,4583192.59,427666.92
2010S000009,Matutino,9,No es causa del peatón,Motocicleta,Home,Conductor,43,Herida leve,4586529.19,429781.12
2010S000010,Matutino,10,No es causa del peatón,Motocicleta,Home,Conductor,43,Herida leve,4583270.02,431068.06
2010S000012,Matutino,11,No es causa del peatón,Motocicleta,Dona,Conductor,46,Herida leve,4583500.88,427583.77
2010S000012,Matutino,11,No es causa del peatón,Motocicleta,Home,Conductor,39,Herida leve,4583500.88,427583.77
2010S000013,Tarde,14,No es causa del peatón,Motocicleta,Dona,Passatger,25,Herida leve,4583616.98,430648.04
2010S000013,Tarde,14,No es causa del peatón,Motocicleta,Home,Conductor,24,Herida leve,4583616.98,430648.04
2010S000014,Tarde,15,No es causa del peatón,Motocicleta,Dona,Passatger,33,Herida leve,4589051.16,433265.97
2010S000014,Tarde,15,No es causa del peatón,Motocicleta,Home,Conductor,29,Herida leve,4589051.16,433265.97
2010S000015,Tarde,15,No es causa del peatón,Turismo,Home,Passatger,37,Herida leve,4582424.87,430448.19
2010S000015,Tarde,15,No es causa del peatón,Motocicleta,Home,Conductor,47,Herida leve,4582424.87,430448.19
2010S000015,Tarde,15,No es causa del peatón,Turismo,Dona,Passatger,19,Herida leve,4582424.87,430448.19
2010S000016,Tarde,16,Cruzar fuera de paso peatonal,Turismo,Home,Vianant,7,Herida leve,4581002.75,429681.42
