IdExpediente,Hora,Causa_de_Accidente,Tipo_VehImplicado,Sexo,TipoPersona,Edad,SeriedadAcc,CoordenadaUTM_Y,CoordenadaUTM_X
2014S005506,11,No es causa del peatón,Motocicleta,Home,Conductor,27,Herida leve,4583917.29,431591.86
2014S005514,7,No es causa del peatón,Motocicleta,Home,Conductor,41,Herida leve,4582196.98,428465.08
2014S003949,12,No es causa del peatón,Turismo,Home,Passatger,51,Herida leve,4581206.32,430221.99
2014S004136,1,No es causa del peatón,Motocicleta,Dona,Conductor,43,Herida leve,4583558.8,430785.21
2014S003641,1,No es causa del peatón,Motocicleta,Home,Conductor,37,Herida leve,4581661.12,427088.8
2014S003642,9,No es causa del peatón,Turismo,Home,Conductor,37,Herida leve,4585559.93,431710.85
2014S002689,2,No es causa del peatón,Motocicleta,Home,Conductor,40,Herida leve,4587397.76,428769.29
2014S002693,4,No es causa del peatón,Taxi,Home,Conductor,48,Herida leve,4583529.94,430947.75
2014S002882,3,No es causa del peatón,Bicicleta,Home,Conductor,25,Herida leve,4583831.86,430701.39
2014S002885,4,Transitar a pie por calzada,Furgoneta,Dona,Vianant,77,Herida leve,4585256.98,431652.77
2014S002886,3,No es causa del peatón,Motocicleta,Home,Conductor,51,Herida leve,4586497.93,428446.73
2014S003393,7,No es causa del peatón,Ciclomotor,Home,Conductor,18,Herida leve,4588333.49,433014.26
2014S002572,9,No es causa del peatón,Motocicleta,Dona,Conductor,36,Herida leve,4584181.62,429902.95
2014S002575,11,No es causa del peatón,Motocicleta,Home,Conductor,68,Herida leve,4583552.54,428529.53
2014S002579,3,No es causa del peatón,Motocicleta,Home,Conductor,58,Herida leve,4583427.12,428844.05
2014S002756,5,No es causa del peatón,Ciclomotor,Home,Conductor,41,Herida leve,4583273.58,430518.43
2014S002443,7,No es causa del peatón,Motocicleta,Home,Conductor,37,Herida leve,4581033.1,428933.46
2014S002449,8,No es causa del peatón,Turismo,Dona,Conductor,26,Herida leve,4584788.23,433310.41
2014S003837,2,No es causa del peatón,Ciclomotor,Dona,Conductor,36,Herida leve,4583822.95,431846.36
2014S003838,4,No es causa del peatón,Ciclomotor,Home,Conductor,37,Herida leve,4581922.64,428215.32
2014S003845,8,No es causa del peatón,Motocicleta,Home,Conductor,40,Herida leve,4581733.43,429699.42
2014S004033,8,No es causa del peatón,Turismo,Dona,Conductor,27,Herida leve,4584735.14,428890.32
2014S002599,8,No es causa del peatón,Ciclomotor,Dona,Passatger,21,Herida leve,4582658.06,430729.47
2014S004115,3,No es causa del peatón,Motocicleta,Home,Conductor,39,Herida leve,4589015.7,433390.85
2014S004307,9,No es causa del peatón,Turismo,Dona,Vianant,41,Herida leve,4583538.8,431555.75
2014S003064,8,No es causa del peatón,Turismo,Dona,Passatger,24,Herida leve,4580911.97,429691.56
2014S003605,8,No es causa del peatón,Motocicleta,Home,Conductor,49,Herida leve,4582786.76,428046.77
2014S003797,5,Cruzar fuera de paso peatonal,Turismo,Home,Vianant,37,Herida leve,4585167.96,431338.22
2014S003798,5,No es causa del peatón,Bicicleta,Home,Conductor,28,Herida leve,4585040.87,433018.94
2014S002453,9,No es causa del peatón,Turismo,Home,Conductor,70,Herida leve,4588848.98,433510.96
2014S002946,2,No es causa del peatón,AutobŁs,Home,Passatger,27,Herida leve,4581619.21,431742.93
2014S002947,3,No es causa del peatón,Motocicleta,Home,Conductor,68,Herida leve,4581271.12,426587.42
2014S002948,4,No es causa del peatón,Motocicleta,Dona,Conductor,25,Herida leve,4582576.51,429616.72
2014S005342,4,No es causa del peatón,Motocicleta,Dona,Conductor,28,Herida leve,4585215.73,428270.02
2014S005554,7,No es causa del peatón,Turismo,Dona,Passatger,27,Herida leve,4576309.83,426672.97
2014S005555,9,No es causa del peatón,Motocicleta,Home,Conductor,29,Herida leve,4584494.1,433383.68
2014S004127,10,No es causa del peatón,Motocicleta,Dona,Conductor,50,Herida leve,4583801.28,432022.68
2014S004128,9,No es causa del peatón,Motocicleta,Home,Conductor,35,Herida leve,4582600.06,429672.09
2014S004338,9,No es causa del peatón,Motocicleta,Dona,Conductor,24,Herida leve,4580937.4,428856.34
2014S004536,1,No es causa del peatón,Motocicleta,Home,Conductor,25,Herida leve,4584005.27,432226.2
2014S002847,7,No es causa del peatón,Motocicleta,Home,Conductor,43,Herida leve,4583720.96,429158.89
2014S003465,11,No es causa del peatón,Motocicleta,Dona,Passatger,25,Herida leve,4582939.91,430943.38
2014S003660,8,No es causa del peatón,Turismo,Dona,Conductor,47,Herida leve,4582432.92,427178.74
2014S003860,12,No es causa del peatón,Motocicleta,Home,Conductor,36,Herida leve,4582094.01,430527.86
2014S003133,7,No es causa del peatón,Turismo,Dona,Vianant,16,Herida leve,4582183.94,429632.76
2014S003134,7,No es causa del peatón,Motocicleta,Dona,Conductor,31,Herida leve,4584181.5,432172.41
2014S003315,12,No es causa del peatón,Motocicleta,Home,Conductor,27,Herida leve,4583514.14,426447.64
2014S002778,11,No es causa del peatón,Motocicleta,Dona,Passatger,20,Herida leve,4583558.8,430785.21
2014S004521,12,Otras,Taxi,Home,Vianant,60,Herida leve,4583221.92,429606.08
2014S004523,8,No es causa del peatón,Bicicleta,Dona,Conductor,21,Herida leve,4580639.74,430283.84
2014S004333,6,No es causa del peatón,Motocicleta,Home,Conductor,20,Herida grave,4581502.03,429552.37
2014S004528,8,No es causa del peatón,Motocicleta,Home,Conductor,49,Herida leve,4583533.71,426909.2
2014S004529,7,No es causa del peatón,Motocicleta,Dona,Conductor,39,Herida leve,4584179.04,432092.83
2014S004533,12,No es causa del peatón,Bicicleta,Dona,Conductor,28,Herida leve,4582012.52,429611.72
2014S004185,5,Cruzar fuera de paso peatonal,Motocicleta,Dona,Vianant,84,Herida leve,4581525.67,432255.77
2014S002850,12,No es causa del peatón,Bicicleta,Dona,Conductor,43,Herida leve,4580298.21,428244.45
2014S002854,2,Desobedecer Semáforo,Motocicleta,Home,Conductor,38,Herida leve,4583191.22,429512.9
2014S004623,3,No es causa del peatón,Turismo,Dona,Passatger,23,Herida leve,4582388.33,430379.74
2014S004634,12,No es causa del peatón,Taxi,Home,Conductor,26,Herida leve,4583446.2,433074.5
2014S004634,12,No es causa del peatón,Taxi,Home,Passatger,31,Herida leve,4583446.2,433074.5
2014S004634,12,No es causa del peatón,Taxi,Home,Passatger,43,Herida leve,4583446.2,433074.5
2014S004832,2,No es causa del peatón,Motocicleta,Home,Conductor,27,Herida leve,4584431.02,430068.35
2014S002978,4,No es causa del peatón,Ciclomotor,Dona,Passatger,19,Herida leve,4580594.36,430160.67
2014S003723,1,No es causa del peatón,Ciclomotor,Home,Conductor,46,Herida leve,4584922.9,433191.03
2014S004837,7,No es causa del peatón,Turismo,Dona,Passatger,Desconegut,Herida leve,4580983.2,427845.7
2014S005031,11,No es causa del peatón,Ciclomotor,Dona,Conductor,21,Herida leve,4584612.09,429102.42
2014S005063,6,No es causa del peatón,Turismo,Home,Conductor,44,Herida leve,4582908.55,428643.51
2014S005068,7,No es causa del peatón,Motocicleta,Dona,Conductor,22,Herida leve,4582274.62,429738.28
2014S005247,3,No es causa del peatón,Motocicleta,Home,Conductor,37,Herida leve,4583114.65,431346.28
2014S005256,9,No es causa del peatón,Motocicleta,Home,Conductor,38,Herida leve,4582479.96,429764.47
2014S004593,8,No es causa del peatón,Motocicleta,Home,Conductor,27,Herida leve,4583975.06,431236.13
2014S003539,1,Cruzar fuera de paso peatonal,Motocicleta,Dona,Vianant,24,Herida leve,4582957.93,431035.96
2014S003540,12,No es causa del peatón,Turismo,Home,Conductor,53,Herida leve,4588506.77,430897.9
2014S005147,5,No es causa del peatón,Motocicleta,Home,Conductor,29,Herida grave,4584547.03,434667.49
2014S004729,12,Desobedecer Semáforo,Taxi,Dona,Vianant,18,Herida leve,4582391.3,430639.62
2014S004731,1,No es causa del peatón,Motocicleta,Home,Conductor,42,Herida leve,4580654.87,428683.37
2014S004738,3,No es causa del peatón,Turismo,Home,Vianant,60,Herida leve,4582736.46,429206.45
2014S004739,3,No es causa del peatón,Bicicleta,Dona,Conductor,43,Herida leve,4583317.43,429831.27
2014S004930,3,No es causa del peatón,Motocicleta,Dona,Conductor,51,Herida leve,4583104.48,428800.4
2014S004456,9,No es causa del peatón,Motocicleta,Home,Conductor,48,Herida leve,4583677.6,430547.05
2014S004652,7,No es causa del peatón,Turismo,Dona,Passatger,16,Herida leve,4588857.65,432370
2014S004387,2,No es causa del peatón,Turismo,Home,Conductor,58,Herida leve,4583453.73,431543.02
2014S004400,7,No es causa del peatón,Taxi,Home,Conductor,41,Herida leve,4581424.02,429815.39
2014S004588,5,No es causa del peatón,Otros vehĄc. a motor,Dona,Passatger,36,Herida leve,4584204.03,432311.05
2014S003215,12,No es causa del peatón,Bicicleta,Dona,Conductor,29,Herida leve,4584528.29,431453.12
2014S003216,5,No es causa del peatón,Turismo,Home,Passatger,15,Herida leve,4584678.27,433980.76
2014S003726,1,No es causa del peatón,Motocicleta,Home,Conductor,55,Herida leve,4582377.83,430237.8
2014S003917,8,No es causa del peatón,Motocicleta,Dona,Passatger,5,Herida leve,4588061.73,430606.96
2014S004110,2,No es causa del peatón,Turismo,Dona,Passatger,33,Herida leve,4582561.55,429654.01
2014S003929,1,No es causa del peatón,Turismo,Home,Passatger,37,Herida leve,4580268.71,430228.46
2014S005560,11,No es causa del peatón,Motocicleta,Dona,Passatger,41,Herida leve,4583264.89,430087.17
2014S005135,10,No es causa del peatón,Bicicleta,Dona,Conductor,25,Herida leve,4581730.3,432011.46
2014S005139,1,No es causa del peatón,Bicicleta,Home,Conductor,52,Herida leve,4582752.48,428840.12
2014S005319,8,No es causa del peatón,Motocicleta,Home,Conductor,45,Herida leve,4581284.77,429779.87
2014S005326,10,No es causa del peatón,Motocicleta,Home,Conductor,26,Herida leve,4584376.33,431112.58
2014S005327,12,No es causa del peatón,Turismo,Home,Passatger,18,Herida leve,4586024.04,432111.1
2014S005328,11,No es causa del peatón,Turismo,Home,Vianant,45,Herida leve,4584559.72,428908.2
2014S005515,8,No es causa del peatón,Turismo,Home,Conductor,35,Herida leve,4586774.65,429437.75
2014S002560,7,No es causa del peatón,Turismo,Dona,Passatger,Desconegut,Herida leve,4582931.53,430551.24
2014S002565,8,No es causa del peatón,Turismo,Dona,Conductor,33,Herida leve,4576163.24,426973.59
2014S002567,9,No es causa del peatón,Motocicleta,Home,Conductor,54,Herida leve,4585104.42,429842.14
2014S003140,10,No es causa del peatón,Turismo,Home,Vianant,59,Herida leve,4583398.7,430704.14
2014S003141,9,No es causa del peatón,Turismo,Dona,Conductor,42,Herida leve,4581892.29,425404.36
2014S003150,1,No es causa del peatón,Turismo,Dona,Vianant,66,Herida leve,4587017.83,432158.87
2014S004721,5,No es causa del peatón,Motocicleta,Dona,Passatger,10,Herida leve,4583904.05,427903.82
2014S002766,9,No es causa del peatón,Motocicleta,Dona,Conductor,55,Herida leve,4583452.63,429359.04
2014S002772,12,No es causa del peatón,Motocicleta,Dona,Conductor,30,Herida leve,4581680.9,429731.19
2014S002960,8,No es causa del peatón,Turismo,Dona,Vianant,43,Herida leve,4582958.94,426112.56
2014S002964,8,No es causa del peatón,Motocicleta,Dona,Conductor,25,Herida leve,4584185.34,431251.36
2014S004923,8,No es causa del peatón,Ciclomotor,Dona,Conductor,35,Herida leve,4585682.38,430696.63
2014S003545,5,No es causa del peatón,Bicicleta,Dona,Conductor,37,Herida leve,4583403.85,430490.8
2014S003546,4,No es causa del peatón,Motocicleta,Home,Conductor,22,Herida leve,4586930.64,429466.27
2014S002817,8,No es causa del peatón,Ciclomotor,Home,Conductor,48,Herida leve,4586372.45,432117.28
2014S003554,6,No es causa del peatón,Turismo,Dona,Passatger,22,Herida leve,4584008.76,431506.83
2014S003746,8,No es causa del peatón,Motocicleta,Dona,Conductor,32,Herida leve,4583306.94,429893.01
2014S003945,8,No es causa del peatón,Motocicleta,Home,Conductor,36,Herida leve,4583177.25,432220.7
2014S002830,4,No es causa del peatón,Motocicleta,Home,Conductor,26,Herida leve,4583499.13,428173.84
2014S004816,8,No es causa del peatón,Motocicleta,Home,Conductor,46,Herida leve,4583688.14,433084.96
2014S003228,9,Desobedecer Semáforo,Ciclomotor,Home,Conductor,19,Herida leve,4584118.37,430778.64
2014S003434,3,No es causa del peatón,Turismo,Home,Conductor,48,Herida leve,4587023.13,431952.72
2014S003948,11,No es causa del peatón,Ciclomotor,Home,Conductor,Desconegut,Herida leve,4585713.01,430540.41
2014S005314,7,No es causa del peatón,Motocicleta,Home,Conductor,34,Herida leve,4586271,428339.28
2014S002499,3,No es causa del peatón,Turismo,Home,Conductor,31,Herida leve,4587304.22,428733.32
2014S003016,7,No es causa del peatón,Turismo,Home,Passatger,49,Herida leve,4585190.93,430021.33
2014S003017,5,No es causa del peatón,Ciclomotor,Home,Conductor,20,Herida leve,4584268.68,428436.79
2014S003191,3,No es causa del peatón,Bicicleta,Home,Conductor,44,Herida leve,4583976.2,434066.07
2014S003193,9,No es causa del peatón,Motocicleta,Dona,Conductor,23,Herida leve,4584634.71,429152.88
2014S005006,2,No es causa del peatón,Motocicleta,Dona,Conductor,44,Herida leve,4584950.63,430546.78
2014S005009,4,No es causa del peatón,Motocicleta,Home,Conductor,23,Herida leve,4582651.53,427951.34
2014S005207,11,No es causa del peatón,AutobŁs,Dona,Passatger,78,Herida leve,4585069.41,431206.24
2014S009160,2,No es causa del peatón,Motocicleta,Dona,Passatger,37,Herida leve,4581468.14,426862.54
2014S009498,8,No es causa del peatón,Motocicleta,Home,Conductor,48,Herida leve,4582403.96,429861.51
2014S004981,3,No es causa del peatón,Turismo,Dona,Passatger,29,Herida leve,4578010.59,428549.8
2014S004987,4,No es causa del peatón,Turismo,Home,Passatger,14,Herida leve,4589052.17,433321.44
2014S004990,10,No es causa del peatón,Bicicleta,Home,Conductor,19,Herida leve,4585464.63,434139.11
2014S004991,8,No es causa del peatón,Turismo,Dona,Conductor,45,Herida leve,4581250.98,429218.31
2014S005179,7,No es causa del peatón,Turismo,Home,Conductor,40,Herida leve,4588476.99,433695.72
2014S003618,7,No es causa del peatón,Motocicleta,Home,Conductor,51,Herida leve,4585015.8,430432.7
2014S003808,8,No es causa del peatón,Turismo,Home,Vianant,80,Herida leve,4586609.01,429289.81
2014S003819,9,No es causa del peatón,Bicicleta,Home,Vianant,73,Herida leve,4580950.09,429960.98
2014S002474,9,No es causa del peatón,Turismo,Dona,Passatger,31,Herida leve,4583874.7,426078.34
2014S002716,11,No es causa del peatón,Turismo,Dona,Vianant,29,Herida leve,4583219.95,429433.98
2014S002511,7,No es causa del peatón,Turismo,Home,Conductor,40,Herida leve,4588934.51,432708.2
2014S002512,9,No es causa del peatón,Turismo,Dona,Passatger,42,Herida leve,4585782.36,432482.66
2014S002514,9,No es causa del peatón,Bicicleta,Home,Conductor,21,Herida leve,4582424.87,430448.19
