IdExpediente,Turno,Hora,Causa_de_Accidente,Tipo_VehImplicado,Sexo,Edad,TipoPersona,Situacion,SeriedadAcc,CoordenadaUTM_X,CoordenadaUTM_Y,Longitud,Latitud
2017S000001,Noche,4,No es causa del peatón,Turismo,Home,50,Conductor,Presentado,Herida leve,428887.27,4583659.1,2.14816,41.399482
2017S000002,Noche,2,No es causa del peatón,Motocicleta,Home,47,Conductor,Presentado,Herida leve,431987.02,4583282.61,2.185284,41.396355
2017S000004,Matutino,7,No es causa del peatón,Motocicleta,Dona,27,Conductor,Presentado,Herida leve,431615.63,4583971.63,2.180756,41.402529
2017S000005,Matutino,7,No es causa del peatón,Ciclomotor,Dona,40,Passatger,Desconegut,Herida leve,432466.78,4583327.27,2.191008,41.396801
2017S000005,Matutino,7,No es causa del peatón,Ciclomotor,Home,37,Conductor,Presentado,Herida leve,432466.78,4583327.27,2.191008,41.396801
2017S000006,Matutino,11,No es causa del peatón,Bicicleta,Home,61,Vianant,Desconegut,Herida leve,430384.25,4582001.59,2.166257,41.38468
2017S000008,Matutino,10,No es causa del peatón,Motocicleta,Dona,31,Passatger,Desconegut,Herida leve,430197.72,4583116.33,2.163892,41.394706
2017S000008,Matutino,10,No es causa del peatón,Motocicleta,Home,35,Conductor,Presentado,Herida leve,430197.72,4583116.33,2.163892,41.394706
2017S000009,Tarde,14,No es causa del peatón,Ciclomotor,Dona,35,Conductor,Presentado,Herida leve,428117.94,4581559.38,2.139199,41.3805
2017S000010,Matutino,12,No es causa del peatón,AutobĂşs,Dona,91,Passatger,Desconegut,Herida leve,431588.98,4586110.37,2.180191,41.421792
2017S000011,Tarde,15,No es causa del peatón,Bicicleta,Home,29,Conductor,Presentado,Herida leve,433205.1,4582713.55,2.199915,41.391332
2017S000012,Matutino,10,No es causa del peatón,Ciclomotor,Dona,23,Passatger,Desconegut,Herida leve,431727.67,4583859.83,2.182109,41.40153
2017S000012,Matutino,10,No es causa del peatón,Ciclomotor,Home,26,Conductor,Presentado,Herida leve,431727.67,4583859.83,2.182109,41.40153
2017S000013,Tarde,15,Desobedecer Semáforo,Turismo,Dona,57,Vianant,Desconegut,Herida leve,430079.43,4582893.47,2.162507,41.392688
2017S000014,Tarde,16,No es causa del peatón,Motocicleta,Home,50,Conductor,Presentado,Herida leve,428117.94,4581559.38,2.139199,41.3805
2017S000015,Tarde,17,No es causa del peatón,Turismo,Home,18,Passatger,Desconegut,Herida leve,433317.96,4585942.04,2.200899,41.420424
2017S000015,Tarde,17,No es causa del peatón,Turismo,Home,49,Conductor,Presentado,Herida leve,433317.96,4585942.04,2.200899,41.420424
2017S000016,Tarde,16,No es causa del peatón,AutobĂşs,Dona,77,Passatger,Desconegut,Herida leve,432000.64,4583338.75,2.185433,41.39686
2017S000017,Tarde,19,No es causa del peatón,Motocicleta,Dona,15,Passatger,Desconegut,Herida leve,433348.96,4585184.79,2.201353,41.4136
2017S000017,Tarde,19,No es causa del peatón,Motocicleta,Dona,25,Conductor,Presentado,Herida leve,433348.96,4585184.79,2.201353,41.4136
2017S000018,Tarde,19,No es causa del peatón,Motocicleta,Dona,26,Conductor,Presentado,Herida leve,428947.81,4582857.9,2.148972,41.392264
2017S000019,Tarde,19,No es causa del peatón,AutobĂşs,Dona,54,Passatger,Desconegut,Herida leve,433728.31,4584213.68,2.206006,41.404886
2017S000022,Noche,22,No es causa del peatón,Bicicleta,Home,51,Conductor,Presentado,Herida leve,429371.43,4583435.83,2.153976,41.397507
2017S000023,Tarde,21,No es causa del peatón,Motocicleta,Dona,31,Passatger,Desconegut,Herida leve,427686.09,4580345.85,2.13419,41.369527
2017S000023,Tarde,21,No es causa del peatón,Motocicleta,Home,22,Conductor,Presentado,Herida leve,427686.09,4580345.85,2.13419,41.369527
2017S000023,Tarde,21,No es causa del peatón,Motocicleta,Home,33,Conductor,Presentado,Herida leve,427686.09,4580345.85,2.13419,41.369527
2017S000024,Matutino,6,Desobedecer Semáforo,"CamiĂłn <= 3,5 Tm",Dona,69,Vianant,Desconegut,Herida leve,429634.13,4579989.69,2.157522,41.366493
2017S000025,Matutino,7,No es causa del peatón,Motocicleta,Dona,30,Conductor,Presentado,Herida leve,427082.07,4582281.06,2.126736,41.386909
2017S000026,Matutino,9,No es causa del peatón,Turismo,Dona,70,Conductor,Presentado,Herida leve,427662.71,4581296.65,2.13379,41.37809
2017S000027,Matutino,10,No es causa del peatón,Ciclomotor,Home,25,Conductor,Presentado,Herida leve,430424.49,4584500.98,2.166448,41.407191
2017S000028,Matutino,10,No es causa del peatón,Motocicleta,Dona,31,Passatger,Desconegut,Herida leve,429808.97,4586437.16,2.158854,41.424583
2017S000028,Matutino,10,No es causa del peatón,Motocicleta,Dona,34,Conductor,Presentado,Herida leve,429808.97,4586437.16,2.158854,41.424583
2017S000029,Matutino,13,No es causa del peatón,Ciclomotor,Home,38,Conductor,Presentado,Herida leve,428921.8,4584295.9,2.148492,41.405213
2017S000030,Tarde,14,No es causa del peatón,Turismo,Home,55,Conductor,Presentado,Herida leve,429292.15,4581623.13,2.153242,41.38118
2017S000031,Tarde,16,No es causa del peatón,Motocicleta,Home,33,Conductor,Presentado,Herida leve,428657.23,4578860.19,2.145974,41.356239
2017S000032,Tarde,17,No es causa del peatón,Turismo,Home,47,Conductor,Presentado,Herida leve,428512.95,4580677.44,2.144027,41.372591
2017S000033,Tarde,17,No es causa del peatón,Motocicleta,Dona,26,Conductor,Presentado,Herida leve,431652.99,4584139.68,2.18118,41.404045
2017S000034,Tarde,18,No es causa del peatón,Turismo,Dona,65,Passatger,Desconegut,Herida leve,431844.68,4588904.82,2.182939,41.446978
2017S000035,Tarde,19,No es causa del peatón,Turismo,Dona,23,Conductor,Presentado,Herida leve,431349.27,4581520.59,2.177852,41.380431
2017S000036,Tarde,19,No es causa del peatón,Motocicleta,Home,23,Conductor,Presentado,Herida leve,428436.64,4583646.31,2.142767,41.399325
2017S000037,Tarde,18,No es causa del peatón,Motocicleta,Home,23,Passatger,Desconegut,Herida leve,429614.28,4584916.05,2.15671,41.410867
2017S000037,Tarde,18,No es causa del peatón,Motocicleta,Home,38,Conductor,Presentado,Herida leve,429614.28,4584916.05,2.15671,41.410867
2017S000038,Tarde,20,No es causa del peatón,Turismo,Home,45,Conductor,Presentado,Herida leve,433708.62,4583709.75,2.205822,41.400345
2017S000039,Noche,22,No es causa del peatón,Turismo,Dona,25,Conductor,Presentado,Herida leve,428741.77,4586241.53,2.146109,41.422724
2017S000039,Noche,22,No es causa del peatón,Turismo,Home,30,Passatger,Desconegut,Herida leve,428741.77,4586241.53,2.146109,41.422724
2017S000040,Noche,22,No es causa del peatón,Ciclomotor,Home,36,Conductor,Presentado,Herida leve,430367.43,4583845.81,2.165842,41.401287
2017S000041,Noche,23,No es causa del peatón,Turismo,Home,38,Passatger,Desconegut,Herida leve,431987.02,4583282.61,2.185284,41.396355
2017S000042,Noche,0,No es causa del peatón,Turismo,Dona,17,Passatger,Desconegut,Herida leve,435045.77,4584884.14,2.221689,41.411037
2017S000042,Noche,0,No es causa del peatón,Turismo,Home,18,Conductor,Presentado,Herida leve,435045.77,4584884.14,2.221689,41.411037
2017S000044,Matutino,7,No es causa del peatón,Motocicleta,Home,40,Conductor,Presentado,Herida leve,428702.98,4584183.43,2.145885,41.404185
2017S000045,Matutino,7,No es causa del peatón,Motocicleta,Dona,43,Conductor,Presentado,Herida leve,429096.15,4588403.89,2.150103,41.442228
2017S000046,Matutino,9,No es causa del peatón,Motocicleta,Home,20,Conductor,Presentado,Herida leve,430294.37,4583211.15,2.165042,41.39557
2017S000047,Matutino,11,Cruzar fuera de paso peatonal,AutobĂşs,Home,51,Vianant,Desconegut,Herida leve,431567.82,4581584.78,2.180452,41.381026
2017S000048,Matutino,11,No es causa del peatón,Motocicleta,Dona,55,Passatger,Desconegut,Herida leve,430004.91,4581948.62,2.161719,41.38417
2017S000048,Matutino,11,No es causa del peatón,Motocicleta,Dona,57,Conductor,Presentado,Herida leve,430004.91,4581948.62,2.161719,41.38417
2017S000049,Matutino,11,No es causa del peatón,Motocicleta,Dona,55,Conductor,Presentado,Herida leve,431886.88,4584422.74,2.183947,41.406614
2017S000050,Matutino,11,No es causa del peatón,Ciclomotor,Home,34,Conductor,Presentado,Herida leve,431538.45,4588893.11,2.179277,41.446853
2017S000051,Matutino,12,No es causa del peatón,Motocicleta,Home,45,Conductor,Presentado,Herida leve,429394.07,4583152.36,2.154284,41.39496
2017S000052,Matutino,12,No es causa del peatón,Motocicleta,Home,31,Conductor,Presentado,Herida leve,431372.07,4583671.72,2.177883,41.399806
2017S000053,Matutino,12,No es causa del peatón,Ciclomotor,Dona,62,Conductor,Presentado,Herida leve,428813.69,4581570.86,2.147521,41.380661
2017S000053,Matutino,12,No es causa del peatón,Motocicleta,Home,31,Conductor,Presentado,Herida leve,428813.69,4581570.86,2.147521,41.380661
2017S000054,Matutino,12,No es causa del peatón,Taxi,Home,32,Conductor,Presentado,Herida leve,431129.78,4582994.69,2.175054,41.393688
2017S000054,Matutino,12,No es causa del peatón,Turismo,Dona,22,Conductor,Presentado,Herida leve,431129.78,4582994.69,2.175054,41.393688
2017S000055,Matutino,13,No es causa del peatón,Motocicleta,Home,57,Conductor,Presentado,Herida leve,429949.39,4582098.91,2.161044,41.385516
2017S000056,Tarde,15,No es causa del peatón,Motocicleta,Home,33,Conductor,Presentado,Herida leve,430928.6,4583773.56,2.172561,41.400687
2017S000057,Matutino,12,No es causa del peatón,Autocaravana,Home,15,Passatger,Desconegut,Herida leve,425857.18,4583428.51,2.111945,41.397128
2017S000057,Matutino,12,No es causa del peatón,Turismo,Home,18,Conductor,Presentado,Herida leve,425857.18,4583428.51,2.111945,41.397128
2017S000057,Matutino,12,No es causa del peatón,Turismo,Home,18,Passatger,Desconegut,Herida leve,425857.18,4583428.51,2.111945,41.397128
2017S000058,Tarde,15,No es causa del peatón,Motocicleta,Dona,23,Conductor,Presentado,Herida leve,429891.13,4583107.12,2.160234,41.394599
2017S000058,Tarde,15,No es causa del peatón,Motocicleta,Home,47,Conductor,Presentado,Herida leve,429891.13,4583107.12,2.160234,41.394599
2017S000059,Tarde,14,No es causa del peatón,Ciclomotor,Home,54,Conductor,Presentado,Herida leve,427214.76,4583877.84,2.128122,41.401296
2017S000060,Tarde,14,No es causa del peatón,AutobĂşs,Dona,47,Passatger,Desconegut,Herida leve,428424.58,4587308.63,2.14219,41.432306
2017S000062,Tarde,17,No es causa del peatón,Motocicleta,Home,27,Conductor,Presentado,Herida leve,427835.14,4581833.11,2.135794,41.382942
2017S000063,Tarde,14,No es causa del peatón,TranvĂ­a o tren,Dona,69,Passatger,Desconegut,Herida leve,434210.82,4585288.5,2.211655,41.414608
2017S000064,Tarde,18,Otras,Ciclomotor,Dona,30,Conductor,Presentado,Herida leve,432748.6,4583797.55,2.194329,41.401057
2017S000065,Tarde,19,No es causa del peatón,Motocicleta,Home,24,Conductor,Presentado,Herida leve,429383.32,4581599.39,2.154333,41.380972
2017S000066,Tarde,19,No es causa del peatón,Motocicleta,Home,52,Conductor,Presentado,Herida leve,429407.04,4582845.29,2.154475,41.392196
2017S000067,Tarde,21,No es causa del peatón,Motocicleta,Home,33,Conductor,Presentado,Herida leve,427482.28,4580848.28,2.131691,41.374039
2017S000068,Noche,23,No es causa del peatón,Turismo,Dona,10,Passatger,Desconegut,Herida leve,429307.79,4581494.94,2.153437,41.38002
2017S000068,Noche,23,No es causa del peatón,Turismo,Dona,25,Passatger,Desconegut,Herida leve,429307.79,4581494.94,2.153437,41.38002
2017S000068,Noche,23,No es causa del peatón,Turismo,Home,6,Passatger,Desconegut,Herida leve,429307.79,4581494.94,2.153437,41.38002
2017S000070,Matutino,10,No es causa del peatón,Motocicleta,Home,49,Conductor,Presentado,Herida leve,430110.42,4582691.73,2.162901,41.390871
2017S000071,Matutino,8,No es causa del peatón,Motocicleta,Home,31,Conductor,Presentado,Herida leve,429040.23,4581689.51,2.150221,41.381752
2017S000072,Matutino,10,No es causa del peatón,Motocicleta,Home,57,Conductor,Presentado,Herida leve,429662.25,4582499.63,2.157565,41.389103
2017S000073,Matutino,11,No es causa del peatón,Motocicleta,Home,35,Conductor,Presentado,Herida leve,432842.66,4583443.77,2.195493,41.397877
2017S000074,Tarde,14,Cruzar fuera de paso peatonal,Motocicleta,Home,27,Conductor,Presentado,Herida leve,432942.6,4586022.22,2.196403,41.421114
2017S000075,Tarde,14,No es causa del peatón,Bicicleta,Home,43,Conductor,Presentado,Herida grave,429068.51,4581836.06,2.150545,41.383079
2017S000075,Tarde,14,No es causa del peatón,Motocicleta,Home,34,Conductor,Presentado,Herida leve,,,','
2017S000076,Tarde,14,No es causa del peatón,Motocicleta,Home,46,Conductor,Presentado,Herida leve,427833.08,4578491.7,2.136168,41.352842
2017S000077,Matutino,12,No es causa del peatón,Turismo,Dona,19,Passatger,Desconegut,Herida leve,432282.89,4588195.97,2.188262,41.44063
2017S000077,Matutino,12,No es causa del peatón,Turismo,Dona,31,Conductor,Presentado,Herida leve,432282.89,4588195.97,2.188262,41.44063
2017S000077,Matutino,12,No es causa del peatón,Turismo,Home,21,Conductor,Presentado,Herida leve,432282.89,4588195.97,2.188262,41.44063
2017S000078,Tarde,15,No es causa del peatón,Motocicleta,Dona,46,Conductor,Presentado,Herida leve,429654.51,4582369.59,2.157485,41.387931
2017S000078,Tarde,15,No es causa del peatón,Motocicleta,Home,30,Conductor,Presentado,Herida leve,429654.51,4582369.59,2.157485,41.387931
2017S000079,Tarde,14,No es causa del peatón,AutobĂşs,Dona,42,Passatger,Desconegut,Herida leve,429444.28,4582235.96,2.154989,41.386706
2017S000079,Tarde,14,No es causa del peatón,AutobĂşs,Dona,47,Passatger,Desconegut,Herida leve,429444.28,4582235.96,2.154989,41.386706
2017S000079,Tarde,14,No es causa del peatón,AutobĂşs,Dona,61,Passatger,Desconegut,Herida leve,429444.28,4582235.96,2.154989,41.386706
2017S000079,Tarde,14,No es causa del peatón,AutobĂşs,Dona,76,Passatger,Desconegut,Herida leve,429444.28,4582235.96,2.154989,41.386706
2017S000079,Tarde,14,No es causa del peatón,AutobĂşs,Dona,83,Passatger,Desconegut,Herida leve,429444.28,4582235.96,2.154989,41.386706
2017S000079,Tarde,14,No es causa del peatón,AutobĂşs,Home,79,Passatger,Desconegut,Herida leve,429444.28,4582235.96,2.154989,41.386706
2017S000079,Tarde,14,No es causa del peatón,Turismo,Home,43,Conductor,Presentado,Herida leve,429444.28,4582235.96,2.154989,41.386706
2017S000080,Matutino,13,No es causa del peatón,Ciclomotor,Home,20,Passatger,Desconegut,Herida leve,427505.62,4582805.48,2.131732,41.391667
2017S000080,Matutino,13,No es causa del peatón,Ciclomotor,Home,23,Conductor,Presentado,Herida leve,427505.62,4582805.48,2.131732,41.391667
2017S000081,Tarde,17,No es causa del peatón,Bicicleta,Dona,22,Conductor,Presentado,Herida leve,430557.92,4580601.62,2.168487,41.372086
2017S000083,Matutino,13,No es causa del peatón,Motocicleta,Dona,39,Conductor,Presentado,Herida grave,430585.29,4582858.11,2.168563,41.392416
