IdExpediente,Hora,Turno,Tipo_Accidente,CoordenadaUTM_Y,CoordenadaUTM_X
2014S007794,23,Noche,Choque vs objeto estático,4585403.65,432091.32
2014S001086,11,Matutino,Alcance,4585072.01,432111.21
2014S008488,11,Matutino,Atropellamiento,4585145.54,432111.72
2014S000086,21,Tarde,Alcance,4585369.85,431638.05
2014S003039,15,Tarde,Alcance,4585194.82,431644.1
2014S008370,14,Tarde,Alcance,4585045.72,431213.37
2014S005938,22,Noche,Atropellamiento,4584943.89,431491.81
2014S008180,15,Tarde,Colisión frontal-lateral,4584865.16,431521.63
2014S001264,11,Matutino,Colisión Frontal,4584656.71,431773.84
2014S003376,12,Matutino,Caída interior vehículo,4584511.49,431817.67
2014S009067,14,Tarde,Alcance,4584418.57,431882.63
2014S009463,11,Matutino,Colisión Lateral,4584633.9,432100.43
2014S004368,15,Tarde,Alcance,4584707.48,431981.36
2014S004095,10,Matutino,Choque vs objeto estático,4584629.17,432098.83
2014S005170,14,Tarde,Colisión Lateral,4584629.17,432098.83
2014S002031,8,Matutino,Colisión frontal-lateral,4584629.17,432098.83
2014S001350,18,Tarde,Colisión Lateral,4584699.92,432217.25
2014S009597,14,Tarde,Colisión frontal-lateral,4584383.37,432027.84
2014S001395,10,Matutino,Atropellamiento,4584271.46,431955.69
2014S001383,19,Tarde,Colisión Lateral,4584356.67,432002.87
2014S005608,15,Tarde,Colisión Lateral,4584181.5,432172.41
2014S008996,8,Matutino,Colisión Lateral,4584181.5,432172.41
2014S002701,18,Tarde,Colisión Lateral,4584429.58,431934.23
2014S006941,16,Tarde,Colisión Lateral,4584197.87,432229.7
2014S007984,22,Noche,Caida (dos ruedas),4584197.87,432229.7
2014S000055,19,Tarde,Atropellamiento,4585333.76,432801.94
2014S003110,9,Matutino,Otras,4585337.84,433291.52
2014S001695,16,Tarde,Caida (dos ruedas),4585273.93,432740.2
2014S007529,6,Matutino,Choque vs objeto estático,4585143.92,432917.11
2014S007602,19,Tarde,Caida (dos ruedas),4585040.87,433018.94
2014S003693,9,Matutino,Alcance,4585040.87,433018.94
2014S008706,11,Matutino,Colisión frontal-lateral,4585103.3,432953.24
2014S007138,14,Tarde,Alcance múltiple,4585128.37,432937.09
2014S001748,15,Tarde,Alcance,4585178.39,432928.88
2014S008413,20,Tarde,Caida (dos ruedas),4585544.57,433095.95
2014S000636,18,Tarde,Otras,4585921.41,433224.98
2014S006222,10,Matutino,Caida (dos ruedas),4585530.57,433003.4
2014S002309,5,Noche,Choque vs objeto estático,4585584.63,432915.7
2014S002208,9,Matutino,Colisión Lateral,4584535.34,432245.97
2014S007274,14,Tarde,Colisión Lateral,4584989.62,432162.13
2014S004376,21,Tarde,Atropellamiento,4585328.68,432172.72
2014S006113,5,Noche,Colisión Lateral,4584814.97,432680.82
2014S002010,13,Matutino,Colisión frontal-lateral,4585064.47,431959.36
2014S001440,15,Tarde,Colisión frontal-lateral,4584884.13,432108.86
2014S000438,11,Matutino,Alcance múltiple,4585030.3,432102.16
2014S004290,13,Matutino,Atropellamiento,4585194.47,434781.37
2014S000733,21,Tarde,Atropellamiento,4586264.87,433753.5
2014S007353,22,Noche,Choque vs objeto estático,4586678.29,433777.16
2014S009605,3,Noche,Colisión frontal-lateral,4586135.96,433697.47
2014S002792,9,Matutino,Alcance,4585612.16,433639.4
