IdExpediente,Hora,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_Y,CoordenadaUTM_X
2012S007292,2,Otras,Furgoneta,INTERSTAR,NISSAN,Gris,B,0,4580877.12,430643.64
2012S007292,2,Otras,Turismo,POLO,VOLKSWAGEN,Vermell,Desconocido,Desconocido,4580877.12,430643.64
2012S005850,20,Cruzar fuera de paso peatonal,Motocicleta,GZ 125,SUZUKI,Negre,Desconocido,Desconocido,4584781.47,430289.84
2012S001657,9,No es causa del peatón,Motocicleta,PS 125,HONDA,Negre,B,24,4580999.21,427452.84
2012S000317,20,No es causa del peatón,Turismo,IBIZA,SEAT,Desconocido,B,4,4584692.52,432381.83
2012S000444,14,No es causa del peatón,Motocicleta,PES,HONDA,Gris,B,22,4583034.99,431040.32
2012S000447,13,No es causa del peatón,Motocicleta,SH 125,HONDA,Negre,B,25,4588128.55,429803.41
2012S000448,15,No es causa del peatón,Bicicleta,Desconocido,BICING,Vermell,Desconocido,Desconocido,4583355.9,429541.16
2012S000582,21,No es causa del peatón,Ciclomotor,SENDA,DERBI,Negre,B,2,4582731.4,427449.63
2012S000584,18,No es causa del peatón,Turismo,C4,CITROEN,Negre,B,10,4581248.03,430939.16
2012S000585,20,No es causa del peatón,Motocicleta,BT 125,BTM,Negre,B,9,4583317.43,429831.27
2012S000589,1,No es causa del peatón,Turismo,LEON,SEAT,Gris,B,5,4581498.83,431680.73
2012S001015,0,No es causa del peatón,Turismo,SCENIC,RENAULT,Gris,Desconocido,Desconocido,4585056.77,428152.76
2012S001282,21,No es causa del peatón,Ciclomotor,SF 50,HYOSUNG,Gris,AM,4,4584717.73,428896.74
2012S001284,8,No es causa del peatón,Motocicleta,LIKE 125,KYMCO,Blanc,B,6,4586639.91,431179.86
2012S000020,9,No es causa del peatón,Furgoneta,TRADE,NISSAN,Blanc,B,16,4583116.59,431099.21
2012S000150,23,No es causa del peatón,Motocicleta,GSR 600,SUZUKI,Negre,A,2,4587032.38,431619.6
2012S000151,4,No es causa del peatón,Turismo,ESCORT,FORD,Gris,B,3,4584859.81,431405.79
2012S000152,5,No es causa del peatón,Motocicleta,SH 125,HONDA,Negre,B,4,4587087.7,431124.46
2012S007234,22,No es causa del peatón,Turismo,E 350,MERCEDES,Gris,B,36,4584548.47,425915.48
2012S007372,15,No es causa del peatón,Turismo,ZAFIRA,OPEL,Negre,Desconocido,Desconocido,4584095.47,428418.01
2012S007376,17,No es causa del peatón,Turismo,PREMACY,MAZDA,Verd,B,20,4579833.03,428072.46
2012S007507,6,No es causa del peatón,Turismo,Altea,SEAT,Gris,B,13,4584127.62,426224.02
2012S006659,10,No es causa del peatón,Turismo,XSARA,CITROEN,Verd,B,32,4579985.82,427999.51
2012S006660,12,No es causa del peatón,Turismo,AVEO,CHEVROLET,Blanc,Desconocido,Desconocido,4580542.41,430671.61
2012S006660,12,No es causa del peatón,Turismo,SCENIC,RENAULT,Gris,Desconocido,Desconocido,4580542.41,430671.61
2012S000890,20,No es causa del peatón,"Camión <= 3,5 Tm",TRANSIT,FORD,Blanc,B,7,4580951.07,429889.4
2012S000893,10,Cruzar fuera de paso peatonal,Turismo,PUNTO,FIAT,Blanc,B,4,4582777.79,431476.64
2012S000893,10,Cruzar fuera de paso peatonal,Turismo,A6,AUDI,Blau,B,51,4582777.79,431476.64
2012S001022,10,No es causa del peatón,Turismo,POLO,VOLKSWAGEN,Gris,B,19,4581838.68,427457.68
2012S001025,9,No es causa del peatón,Turismo,206,PEUGEOT,Taronja,Desconocido,Desconocido,4585486.61,430704.98
2012S000084,19,No es causa del peatón,Turismo,C4,CITROEN,Negre,B,21,4588693.22,432400.31
2012S000086,19,No es causa del peatón,Turismo,C5,CITROEN,Gris,B,16,4585531.96,428041.37
2012S000088,18,No es causa del peatón,Turismo,VECTRA,OPEL,Daurat,B,1,4583737.08,430789.1
2012S000717,15,No es causa del peatón,Turismo,MONDEO,FORD,Gris,B,6,4581832.1,428114.65
2012S000860,9,No es causa del peatón,Motocicleta,FZ6,YAMAHA,Blanc,A,5,4583341.01,431134.85
2012S000864,9,No es causa del peatón,Motocicleta,LIBERTY 125,PIAGGIO,Gris,B,11,4585179.04,434964.53
2012S006790,6,No es causa del peatón,Motocicleta,Sport City,APRILIA,Negre,A1,5,4584584.74,427821.09
2012S006791,7,No es causa del peatón,Turismo,ZAFIRA,OPEL,Gris,B,15,4580317.86,428339.19
2012S006792,8,No es causa del peatón,Motocicleta,SCOOPY 100,HONDA,Gris,A1,34,4583062.05,432199.01
2012S006792,8,No es causa del peatón,Bicicleta,Desconocido,DECATHLON,Negre,Desconocido,Desconocido,4583062.05,432199.01
2012S006795,9,No es causa del peatón,Ciclomotor,SH 50,HONDA,Gris,B,1,4585130.95,430882.64
2012S006928,13,No es causa del peatón,Turismo,COROLLA,TOYOTA,Gris,Desconocido,Desconocido,4582568.57,429072.39
2012S007405,14,Transitar a pie por calzada,Motocicleta,SH 100,HONDA,Negre,A,12,4585608.11,428387.92
2012S007531,19,No es causa del peatón,AutobŁs,Desconocido,MERCEDES,Vermell,D,6,4579792.08,427711.55
2012S007535,1,No es causa del peatón,Turismo,LEON,SEAT,Blanc,B,4,4583588.18,431603.29
2012S007654,20,No es causa del peatón,Autocar,Desconocido,VOLVO,Desconocido,D,26,4582456.92,430675.81
2012S007655,22,No es causa del peatón,Turismo,308,PEUGEOT,Blanc,B,3,4583975.36,430660.68
2012S007655,22,No es causa del peatón,Turismo,FORTWO,SMART,Gris,B,15,4583975.36,430660.68
2012S006677,15,No es causa del peatón,Turismo,306,PEUGEOT,Vermell,B,23,4587084.4,431769.33
2012S006678,19,No es causa del peatón,Motocicleta,CBR 600,HONDA,Vermell,A,22,4583587.44,427138.21
2012S006808,17,Desobedecer Semáforo,Motocicleta,UH 125,SUZUKI,Negre,B,4,4582563.55,426526.45
2012S006809,20,No es causa del peatón,Turismo,CRV,HONDA,Gris,B,43,4581299.85,429268.17
2012S001665,12,No es causa del peatón,Furgoneta,TRANSIT,FORD,Blanc,B,20,4580912.7,429230.37
2012S000319,21,No es causa del peatón,Turismo,A6,AUDI,Blau,Desconocido,Desconocido,4579380.95,428168.42
2012S000323,8,No es causa del peatón,Turismo,LEON,SEAT,Negre,B,Desconocido,4584731.2,435017.2
2012S000453,8,No es causa del peatón,Turismo,VERSO,TOYOTA,Blau,B,14,4583766.36,434156.16
2012S001154,16,No es causa del peatón,Motocicleta,CB 250 TWO FIFTY,HONDA,Negre,A,16,4582697.02,430671.54
2012S000866,11,No es causa del peatón,Turismo,300,MERCEDES,Negre,B,56,4583290.22,429156.35
2012S001001,16,No es causa del peatón,Turismo,Q7,AUDI,Gris,B,4,4583506.13,427386.87
2012S001285,9,No es causa del peatón,Turismo,Q5,AUDI,Blanc,B,27,4582775.74,431582.52
2012S001419,12,No es causa del peatón,Turismo,SORENTO,KIA,Negre,B,35,4582001.08,427112.9
2012S001420,13,No es causa del peatón,Motocicleta,SUPER DINK 125,KYMCO,Blanc,B,4,4579915.12,430788.13
2012S001420,13,No es causa del peatón,Turismo,MONDEO,FORD,Gris,B,35,4579915.12,430788.13
2012S001558,16,No es causa del peatón,Turismo,MEGANE,RENAULT,Desconocido,B,24,4584613.55,426771.17
2012S001560,18,No es causa del peatón,Turismo,IBIZA,SEAT,Negre,B,5,4587769.32,433667.32
2012S001561,19,No es causa del peatón,Motocicleta,VESPA,PIAGGIO,Blanc,B,4,4582651.41,430241.08
2012S000222,15,No es causa del peatón,Turismo,XC 90,VOLVO,Gris,B,28,4583372.76,429854.46
2012S000226,13,No es causa del peatón,Turismo,CEE D,KIA,Gris,B,20,4586170.23,429171.46
2012S000361,16,No es causa del peatón,Turismo,ASTRA,OPEL,Negre,B,5,4583491.03,431154.98
2012S000364,19,No es causa del peatón,Motocicleta,SH 125,HONDA,Negre,B,5,4588928.81,432440.03
2012S000487,6,No es causa del peatón,Turismo,ALMERA,NISSAN,Blau,B,4,4582834.97,433495.24
2012S000027,15,No es causa del peatón,Motocicleta,SH 125,HONDA,Marr˘,B,21,4582932.76,430144.52
2012S000030,15,No es causa del peatón,AutobŁs articulado,NG 313,MAN,Vermell,E D,15,4583551.14,430408.55
2012S000033,22,No es causa del peatón,Turismo,ATOS,HYUNDAI,Vermell,B,1,4583469.48,430872.45
2012S007633,13,No es causa del peatón,Turismo,IBIZA,SEAT,Blanc,B,1,4584639.26,434981.22
2012S007768,10,No es causa del peatón,Turismo,MEGANE,RENAULT,Blanc,B,3,4588506.77,430897.9
2012S006930,14,No es causa del peatón,Furgoneta,BERLINGO,CITROEN,Gris,B,20,4583730.69,431738.28
2012S006932,15,No es causa del peatón,Ciclomotor,CS 50 Z,YAMAHA,Gris,A1,6,4583485.03,429708.63
2012S006932,15,No es causa del peatón,Turismo,207,PEUGEOT,Vermell,B,20,4583485.03,429708.63
2012S007058,15,No es causa del peatón,Turismo,GOLF,VOLKSWAGEN,Blau,B,31,4582432.66,428685.5
2012S007062,19,No es causa del peatón,Ciclomotor,LIBERTY 125,PIAGGIO,Gris,AM,16,4582849.24,431656.76
2012S007066,21,No es causa del peatón,Turismo,YARIS,TOYOTA,Gris,B,47,4582886.45,429336.44
2012S007191,13,No es causa del peatón,Turismo,C3,CITROEN,Gris,B,25,4582292.47,427792.68
2012S007192,13,No es causa del peatón,Turismo,ASTRA,OPEL,Desconocido,B,39,4581481.21,428423.27
2012S007193,13,No es causa del peatón,Turismo,416,ROVER,Verd,B,43,4584797.9,432244.69
2012S007193,13,No es causa del peatón,Bicicleta,Desconocido,PEUGEOT,Verd,Desconocido,Desconocido,4584797.9,432244.69
2012S007195,18,No es causa del peatón,Motocicleta,SIXTEEN,SUZUKI,Negre,B,5,4584988.31,429646.68
2012S007195,18,No es causa del peatón,Turismo,A3,AUDI,Negre,B,18,4584988.31,429646.68
2012S007196,19,No es causa del peatón,Ciclomotor,PEOPLE 125,KYMCO,Gris,Llicncia,29,4584634.71,429152.88
2012S001157,16,No es causa del peatón,Bicicleta,Desconocido,Desconocido,Altres,Desconocido,Desconocido,4581764.39,431767.04
2012S001158,16,No es causa del peatón,Turismo,CLIO,RENAULT,Marr˘,B,2,4589564.65,431086.2
2012S001293,13,No es causa del peatón,Motocicleta,MOVIE 125,KYMCO,Blau,A,26,4581764.16,429347.79
2012S001424,16,No es causa del peatón,Turismo,207,PEUGEOT,Blau,B,6,4584614.97,427553.36
2012S001427,19,No es causa del peatón,Turismo,ALMERA,NISSAN,Gris,B,6,4581946.87,432487.96
2012S000092,8,No es causa del peatón,Furgoneta,KANGOO,RENAULT,Blanc,B,22,4585249.15,433366.47
2012S000094,10,No es causa del peatón,Motocicleta,SES 125,HONDA,Gris,A1,20,4583469.01,427573.55
2012S000095,11,No es causa del peatón,Motocicleta,SR 250 SP,YAMAHA,Blau,A,8,4586887.7,431391.84
2012S000096,11,No es causa del peatón,Turismo,PATHFINDER,NISSAN,Blanc,B,29,4581984.83,428248.88
2012S000096,11,No es causa del peatón,Motocicleta,125,VESPA,Blanc,B,7,4581984.83,428248.88
2012S000230,17,No es causa del peatón,Ciclomotor,NEO'S,YAMAHA,Blau,AM,24,4583375.2,426005.63
2012S000230,17,No es causa del peatón,Turismo,POLO,VOLKSWAGEN,Blanc,B,1,4583375.2,426005.63
2012S000231,17,No es causa del peatón,Turismo,XANTIA,CITROEN,Gris,B,13,4584033.16,431049.04
2012S000234,19,No es causa del peatón,Taxi,PRIUS,TOYOTA,Groc,BTP,36,4582971.84,428535.96
2012S000157,14,No es causa del peatón,Motocicleta,AN 400,SUZUKI,Negre,A,24,4580945.01,430343.21
2012S000161,13,No es causa del peatón,Furgoneta,VITO,MERCEDES,Blanc,Desconocido,Desconocido,4583434.04,430094.01
2012S000296,22,No es causa del peatón,Motocicleta,CBF 600,HONDA,Blau,A2,1,4582945.73,429266.68
2012S000298,7,No es causa del peatón,Turismo,COROLLA,TOYOTA,Gris,Desconocido,Desconocido,4585612.22,431559.89
2012S000299,7,No es causa del peatón,Motocicleta,CBF 250,HONDA,Negre,A,22,4586885.58,430907.39
2012S001002,18,No es causa del peatón,Turismo,C3,CITROEN,Gris,B,19,4585600.72,433723.92
2012S001002,18,No es causa del peatón,Turismo,Santa Fe,HYUNDAI,Negre,B,16,4585600.72,433723.92
2012S001124,17,No es causa del peatón,Motocicleta,PCX,HONDA,Negre,A1,24,4583226.68,431231.77
2012S001127,18,No es causa del peatón,Turismo,306,PEUGEOT,Blau,B,10,4581849.96,429033.26
2012S001129,19,No es causa del peatón,Turismo,LEON,SEAT,Negre,B,5,4583241.57,428976.37
2012S001262,8,No es causa del peatón,Turismo,TOLEDO,SEAT,Platejat,B,47,4586983.3,430710.39
2012S001266,12,No es causa del peatón,Taxi,OCTAVIA,SKODA,Negre,BTP,14,4585001.3,429928.71
2012S001267,13,No es causa del peatón,Turismo,Opirus,KIA,Gris,Desconocido,Desconocido,4582939.91,430943.38
2012S007916,23,No es causa del peatón,Ciclomotor,Elyseo 50,PEUGEOT,Gris,AM,22,4585602.69,428834.26
2012S007917,18,No es causa del peatón,Ciclomotor,SR 50,APRILIA,Negre,AM,1,4586400.36,431733.77
2012S008049,11,No es causa del peatón,Motocicleta,EN 500,KAWASAKI,Negre,A2,10,4585504.45,431572.46
2012S006947,8,No es causa del peatón,Turismo,FOCUS,FORD,Negre,B,16,4586665.18,431331.2
2012S006948,12,No es causa del peatón,Motocicleta,YP 125,YAMAHA,Blanc,B,24,4583856.62,431576.58
2012S007076,14,No es causa del peatón,Motocicleta,RV 125,SUZUKI,Negre,B,8,4581345.41,429392.3
2012S007210,5,No es causa del peatón,Otros vehĄc. a motor,Desconocido,Desconocido,Gris,Desconocido,Desconocido,4584955.31,434910.04
2012S007212,8,No es causa del peatón,Motocicleta,PK125,VESPA,Negre,B,4,4582935.23,428491.06
2012S008027,16,No es causa del peatón,Ciclomotor,SH 50,HONDA,Negre,AM,5,4583623.59,427673.64
2012S006027,0,No es causa del peatón,Ciclomotor,LIBERTY 50,PIAGGIO,Negre,B,3,4582247.25,429617.48
2012S000040,11,No es causa del peatón,Motocicleta,SCOOPY 100,HONDA,Gris,A,16,4582071.67,431298.03
2012S000457,20,No es causa del peatón,Motocicleta,YP 250,YAMAHA,Altres,A,1,4585015.8,430432.7
2012S000458,21,No es causa del peatón,Turismo,IBIZA,SEAT,Blanc,B,2,4583269.01,431088.64
2012S000458,21,No es causa del peatón,Ciclomotor,SCOOPY 50,HONDA,Negre,B,1,4583269.01,431088.64
2012S000592,5,No es causa del peatón,Motocicleta,FZ6,YAMAHA,Blanc,A2,2,4578325.16,429174.43
2012S000600,9,No es causa del peatón,Motocicleta,FJS 400,HONDA,Negre,A,23,4581680.9,429731.19
2012S000729,21,No es causa del peatón,Taxi,OCTAVIA,SKODA,Altres,BTP,32,4582114.77,431259.08
2012S000730,16,No es causa del peatón,Ciclomotor,AF 50,HONDA,Violeta,B,14,4581761.25,427430.45
2012S000732,8,No es causa del peatón,Furgoneta,TRANSIT,FORD,Groc,BTP,6,4585953.62,432180.06
2012S000734,8,No es causa del peatón,Ciclomotor,PEOPLE 50,KYMCO,Negre,AM,5,4584543.25,430306.01
2012S001571,1,No es causa del peatón,Turismo,TERRANO,NISSAN,Gris,Desconocido,Desconocido,4584587.72,433686.57
2012S001571,1,No es causa del peatón,Turismo,ORION,FORD,Gris,Desconocido,Desconocido,4584587.72,433686.57
2012S000492,13,No es causa del peatón,Turismo,GOLF,VOLKSWAGEN,Negre,B,42,4581781.37,425238.76
2012S000627,10,No es causa del peatón,Motocicleta,XN 125,YAMAHA,Blau,A,3,4584538.19,430914.98
2012S000627,10,No es causa del peatón,Furgoneta,Bipper,PEUGEOT,Blanc,B,3,4584538.19,430914.98
2012S000766,19,No es causa del peatón,Motocicleta,VS 125,SYM,Negre,B,28,4586921.38,429377.75
2012S000301,11,No es causa del peatón,Turismo,120D,BMW,Gris,B,7,4583594.12,431478.4
2012S000429,22,No es causa del peatón,Ciclomotor,LIBERTY 50,PIAGGIO,Gris,B,3,4581578.79,428981.03
2012S000431,1,No es causa del peatón,Motocicleta,NEO'S,YAMAHA,Gris,B,6,4581288.53,432320.81
2012S000567,14,No es causa del peatón,Motocicleta,SH 125,HONDA,Blanc,B,6,4581754.73,429965.94
2012S000568,16,No es causa del peatón,Taxi,ALHAMBRA,SEAT,Altres,BTP,24,4581448.48,428848.21
2012S000568,16,No es causa del peatón,Motocicleta,CYGNUS 125,YAMAHA,Gris,B,31,4581448.48,428848.21
2012S000572,14,No es causa del peatón,Motocicleta,SH 125,HONDA,Blanc,B,6,4583588.18,431603.29
2012S001399,19,No es causa del peatón,Ciclomotor,SPEEDFIGHT AIR COOLED,PEUGEOT,Desconocido,B,3,4587778.42,433674.78
2012S001403,16,No es causa del peatón,Turismo,Altea,SEAT,Gris,BTP,8,4584964.87,431585.78
2012S001405,19,No es causa del peatón,Motocicleta,SCARABEO 100,APRILIA,Gris,B,41,4583242.9,427678.8
2012S007197,20,No es causa del peatón,Motocicleta,SH 100,HONDA,Negre,A1,12,4583383.79,430247.27
2012S007335,14,Cruzar fuera de paso peatonal,Taxi,PRIUS,TOYOTA,Altres,BTP,33,4581756.05,432053.73
2012S007336,18,No es causa del peatón,Todo terreno,Q7,AUDI,Negre,B,27,4583290.55,432338.09
