IdExpediente,Hora,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_X,CoordenadaUTM_Y,Longitud,Latitud
2016S004659,11,No es causa del peatón,"Camión > 3,5 Tm",370,RENAULT,Blanc,C,11,"423606,83","4586843,04",2.084589,41.427673999999996
2016S008630,19,No es causa del peatón,Turismo,A6,AUDI,Blanc,B,12,"424249,09","4586527,04",2.092323,41.424889
2016S008630,19,No es causa del peatón,Turismo,LS 400,LEXUS,Altres,B,66,"424249,09","4586527,04",2.092323,41.424889
2016S009877,18,No es causa del peatón,Motocicleta,Desconocido,HONDA,Negre,A,9,"424262,4","4586543,35",2.092477,41.425034000000004
2016S009877,18,No es causa del peatón,Turismo,FORTWO,SMART,Blanc,B,21,"424262,4","4586543,35",2.092477,41.425034000000004
2016S002188,7,No es causa del peatón,"Camión <= 3,5 Tm",STRALIS,IVECO FIAT,Blanc,C,14,"424412,65","4585743,93",2.094372,41.417843
2016S002188,7,No es causa del peatón,Motocicleta,DR Z,SUZUKI,Negre,A2,6,"424412,65","4585743,93",2.094372,41.417843
2016S004036,7,No es causa del peatón,Motocicleta,SH 300,HONDA,Blau,A,11,"424610,52","4585995,05",2.09671,41.420131
2016S004036,7,No es causa del peatón,Turismo,CLIO,RENAULT,Blanc,B,18,"424610,52","4585995,05",2.09671,41.420131
2016S007973,7,Cruzar fuera de paso peatonal,Turismo,ACCORD,HONDA,Blau,B,44,"424650,38","4585930,55",2.097196,41.41955
2016S000596,12,No es causa del peatón,Bicicleta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,"424974,51","4587061,56",2.1009330000000004,41.429766
2016S000596,12,No es causa del peatón,Turismo,Altea,SEAT,Blanc,BTP,10,"424974,51","4587061,56",2.1009330000000004,41.429766
2016S001172,21,No es causa del peatón,Turismo,BERLINGO,CITROEN,Gris,B,6,424991.14,4581760.18,2.101795,41.382026
2016S008886,16,No es causa del peatón,Taxi,PRIUS,TOYOTA,Negre/Groc,BTP,10,"425002,79","4584620,05",2.101571,41.407784
2016S008886,16,No es causa del peatón,Turismo,MONTERO,MITSUBISHI,Desconocido,B,14,"425002,79","4584620,05",2.101571,41.407784
2016S008352,8,No es causa del peatón,Turismo,MERIVA,OPEL,granate,B,0,"425007,53","4585551,24",2.101515,41.416169000000004
2016S008474,8,No es causa del peatón,Motocicleta,LIBERTY 125,PIAGGIO,Gris,B,26,"425046,27","4581845,73",2.102441,41.382795
2016S008474,8,No es causa del peatón,Turismo,IBIZA,SEAT,Blau,B,25,"425046,27","4581845,73",2.102441,41.382795
2016S007183,7,No es causa del peatón,"Camión <= 3,5 Tm",Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,"425061,36","4581835,81",2.102621,41.382706
2016S007183,7,No es causa del peatón,Motocicleta,ARRECIFE 125,APRILIA,Blau,B,7,"425061,36","4581835,81",2.102621,41.382706
2016S003984,17,No es causa del peatón,Furgoneta,EXPRESS,RENAULT,Vermell,B,21,"425090,32","4581804,89",2.1029720000000003,41.38243
2016S003984,17,No es causa del peatón,Turismo,S40,VOLVO,Blanc,B,6,"425090,32","4581804,89",2.1029720000000003,41.38243
2016S003984,17,No es causa del peatón,Turismo,YARIS,TOYOTA,Blau,B,10,"425090,32","4581804,89",2.1029720000000003,41.38243
2016S007811,10,No es causa del peatón,Motocicleta,CBF 125,HONDA,Vermell,B,7,"425090,32","4581804,89",2.1029720000000003,41.38243
2016S008934,7,No es causa del peatón,Motocicleta,SUPER DINK 125,KYMCO,Gris,B,6,"425098,69","4581932,44",2.103052,41.383583
2016S008934,7,No es causa del peatón,Turismo,207,PEUGEOT,Gris,B,20,"425098,69","4581932,44",2.103052,41.383583
2016S008934,7,No es causa del peatón,Turismo,CLIO,RENAULT,Gris,B,3,"425098,69","4581932,44",2.103052,41.383583
2016S008934,7,No es causa del peatón,Turismo,MAZDA 5,MAZDA,Desconocido,B,26,"425098,69","4581932,44",2.103052,41.383583
2016S003968,9,No es causa del peatón,Motocicleta,Transalp,HONDA,Negre,A,11,"425100,27","4585847,05",2.102591,41.418844
2016S003968,9,No es causa del peatón,Turismo,Q7,AUDI,Blanc,B,22,"425100,27","4585847,05",2.102591,41.418844
2016S004949,11,No es causa del peatón,Furgoneta,BOXER,PEUGEOT,Blanc,B,18,"425102,9",4581982,2.103093,41.384034
2016S004949,11,No es causa del peatón,Furgoneta,MASTER,RENAULT,Blanc,B,22,"425102,9",4581982,2.103093,41.384034
2016S004949,11,No es causa del peatón,Furgoneta,TRAJET,HYUNDAI,Gris,B,11,"425102,9",4581982,2.103093,41.384034
2016S004949,11,No es causa del peatón,Turismo,Desconocido,Desconocido,Negre,Desconocido,Desconocido,"425102,9",4581982,2.103093,41.384034
2016S009607,17,No es causa del peatón,Turismo,508,PEUGEOT,Negre,B,8,"425102,9",4581982,2.103093,41.384034
2016S009607,17,No es causa del peatón,Turismo,KANGOO,RENAULT,Gris,B,2,"425102,9",4581982,2.103093,41.384034
2016S009068,13,No es causa del peatón,Furgoneta,Daily,IVECO FIAT,Blanc,B,41,"425102,9",4581982,2.103093,41.384034
2016S009068,13,No es causa del peatón,Furgoneta,TRANSIT,FORD,Blanc,B,2,"425102,9",4581982,2.103093,41.384034
2016S009068,13,No es causa del peatón,Turismo,307,PEUGEOT,Gris,B,9,"425102,9",4581982,2.103093,41.384034
2016S005948,23,No es causa del peatón,Turismo,C 220,MERCEDES,Gris,B,4,"425145,34","4582847,65",2.1035009999999996,41.391829
2016S005948,23,No es causa del peatón,Turismo,S3,AUDI,Blanc,B,17,"425145,34","4582847,65",2.1035009999999996,41.391829
2016S006785,9,No es causa del peatón,Turismo,ALMERA,NISSAN,Vermell,B,54,"425204,18","4582148,5",2.104293,41.385539
2016S006785,9,No es causa del peatón,Turismo,MEGANE,RENAULT,Gris,B,24,"425204,18","4582148,5",2.104293,41.385539
2016S000810,18,No es causa del peatón,Motocicleta,FAZER,YAMAHA,Blau,A,32,"425208,78","4582104,27",2.104346,41.385143
2016S000810,18,No es causa del peatón,Turismo,IBIZA,SEAT,Blanc,B,5,"425208,78","4582104,27",2.104346,41.385143
2016S006786,9,No es causa del peatón,Turismo,ALHAMBRA,SEAT,Gris,B,15,"425208,78","4582104,27",2.104346,41.385143
2016S006786,9,No es causa del peatón,Turismo,CLK270,MERCEDES,Negre,B,34,"425208,78","4582104,27",2.104346,41.385143
2016S009983,12,No es causa del peatón,Turismo,306,PEUGEOT,Gris,B,18,"425208,78","4582104,27",2.104346,41.385143
2016S009983,12,No es causa del peatón,Turismo,500,FIAT,Gris,B,31,"425208,78","4582104,27",2.104346,41.385143
2016S009983,12,No es causa del peatón,Turismo,ATOS,HYUNDAI,Blau,B,8,"425208,78","4582104,27",2.104346,41.385143
2016S009983,12,No es causa del peatón,Turismo,CORDOBA,SEAT,Gris,B,26,"425208,78","4582104,27",2.104346,41.385143
2016S009983,12,No es causa del peatón,Turismo,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,"425208,78","4582104,27",2.104346,41.385143
2016S009983,12,No es causa del peatón,Turismo,SCENIC,RENAULT,Gris,B,18,"425208,78","4582104,27",2.104346,41.385143
2016S009983,12,No es causa del peatón,Turismo,TIGUAN,VOLKSWAGEN,MarrĂł,B,29,"425208,78","4582104,27",2.104346,41.385143
2016S002670,15,No es causa del peatón,Motocicleta,ANC 125,HONDA,Negre,A1,1,"425208,78","4582104,27",2.104346,41.385143
2016S002670,15,No es causa del peatón,Turismo,C4,CITROEN,granate,B,15,"425208,78","4582104,27",2.104346,41.385143
2016S002992,12,No es causa del peatón,Bicicleta,Desconocido,Desconocido,Negre,Desconocido,Desconocido,"425209,33","4584831,94",2.104021,41.409704
2016S002992,12,No es causa del peatón,Turismo,GL 450,MERCEDES,Blanc,B,29,"425209,33","4584831,94",2.104021,41.409704
2016S008123,9,No es causa del peatón,Turismo,C2,CITROEN,Negre,B,7,"425220,65","4585658,56",2.10405,41.417153000000006
2016S007165,18,No es causa del peatón,Motocicleta,PCX,HONDA,Blanc,A,19,"425238,76","4581781,37",2.104745,41.382236
2016S007165,18,No es causa del peatón,Turismo,FIESTA,FORD,Gris,B,5,"425238,76","4581781,37",2.104745,41.382236
2016S009919,12,No es causa del peatón,Furgoneta,EXPERT,PEUGEOT,Blanc,B,33,"425238,76","4581781,37",2.104745,41.382236
2016S009919,12,No es causa del peatón,Turismo,206,PEUGEOT,Negre,B,12,"425238,76","4581781,37",2.104745,41.382236
2016S009919,12,No es causa del peatón,Turismo,A8,AUDI,granate,B,55,"425238,76","4581781,37",2.104745,41.382236
2016S009919,12,No es causa del peatón,Turismo,AYGO,TOYOTA,Blau,B,29,"425238,76","4581781,37",2.104745,41.382236
2016S006231,14,No es causa del peatón,Motocicleta,PES,HONDA,Blanc,A,23,425238.76,4581781.37,2.1047540000000002,41.38224
2016S008453,19,No es causa del peatón,Ciclomotor,SH 50,HONDA,Gris,AM,1,"425242,45","4585206,3",2.1043689999999997,41.413084000000005
2016S008453,19,No es causa del peatón,Turismo,C3,CITROEN,Gris,B,46,"425242,45","4585206,3",2.1043689999999997,41.413084000000005
2016S004937,19,No es causa del peatón,"Camión > 3,5 Tm",Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,"425252,89","4585215,37",2.104488,41.413166
2016S005168,23,No es causa del peatón,Motocicleta,SH 125,HONDA,Gris,B,14,"425267,26","4582888,46",2.104955,41.392209
2016S005168,23,No es causa del peatón,Turismo,CIVIC,HONDA,Vermell,B,9,"425267,26","4582888,46",2.104955,41.392209
2016S004193,18,No es causa del peatón,Turismo,SAXO,CITROEN,Verd,B,1,"425270,09","4584550,06",2.1047849999999997,41.407179
2016S004193,18,No es causa del peatón,Turismo,SPACE STAR,MITSUBISHI,Gris,B,32,"425270,09","4584550,06",2.1047849999999997,41.407179
2016S009143,17,No es causa del peatón,Motocicleta,YBR 125,YAMAHA,Desconocido,B,6,"425271,78","4582185,56",2.105089,41.385878000000005
2016S009143,17,No es causa del peatón,Turismo,A1,AUDI,Desconocido,B,Desconocido,"425271,78","4582185,56",2.105089,41.385878000000005
2016S008218,10,No es causa del peatón,Furgoneta,VITO,MERCEDES,Blanc,B,32,"425271,78","4582185,56",2.105089,41.385878000000005
2016S008218,10,No es causa del peatón,Motocicleta,SH 125,HONDA,Blanc,A1,4,"425271,78","4582185,56",2.105089,41.385878000000005
2016S005495,1,No es causa del peatón,Motocicleta,MNX110,HONDA,Blanc,A1,1,"425326,76","4585369,07",2.105354,41.414559999999994
2016S005495,1,No es causa del peatón,Turismo,CADDY,VOLKSWAGEN,granate,B,6,"425326,76","4585369,07",2.105354,41.414559999999994
2016S008836,11,No es causa del peatón,AutobĂşs,NL 233,MAN,Blau,D,10,"425327,79","4582270,67",2.1057490000000003,41.386649
2016S008836,11,No es causa del peatón,Motocicleta,VTR 250,HONDA,Gris,A,23,"425327,79","4582270,67",2.1057490000000003,41.386649
2016S005794,10,No es causa del peatón,Furgoneta,KANGOO,RENAULT,Blanc,Desconocido,Desconocido,"425327,79","4582270,67",2.1057490000000003,41.386649
2016S005794,10,No es causa del peatón,Turismo,A3,AUDI,Vermell,Desconocido,Desconocido,"425327,79","4582270,67",2.1057490000000003,41.386649
2016S005794,10,No es causa del peatón,Turismo,CLS,MERCEDES,Negre,B,21,"425327,79","4582270,67",2.1057490000000003,41.386649
2016S005794,10,No es causa del peatón,Turismo,FORFOUR,SMART,Daurat,Desconocido,Desconocido,"425327,79","4582270,67",2.1057490000000003,41.386649
2016S005794,10,No es causa del peatón,Turismo,IBIZA,SEAT,Blau,Desconocido,Desconocido,"425327,79","4582270,67",2.1057490000000003,41.386649
2016S005794,10,No es causa del peatón,Turismo,IBIZA,SEAT,Negre,Desconocido,Desconocido,"425327,79","4582270,67",2.1057490000000003,41.386649
2016S006003,11,No es causa del peatón,Motocicleta,SH 125,HONDA,Blanc,B,6,"425327,79","4582270,67",2.1057490000000003,41.386649
2016S006003,11,No es causa del peatón,Turismo,AYGO,TOYOTA,Gris,B,6,"425327,79","4582270,67",2.1057490000000003,41.386649
2016S005111,9,No es causa del peatón,Motocicleta,BURGMAN,SUZUKI,Blanc,B,13,"425336,38","4584821,62",2.105541,41.409625
2016S005111,9,No es causa del peatón,Turismo,RANGE ROVER,LAND ROVER,Negre,B,27,"425336,38","4584821,62",2.105541,41.409625
2016S008896,18,No es causa del peatón,Furgoneta,INTERSTAR,NISSAN,Negre,B,29,"425336,38","4584821,62",2.105541,41.409625
2016S008896,18,No es causa del peatón,Motocicleta,SH 125,HONDA,Negre,A1,1,"425336,38","4584821,62",2.105541,41.409625
2016S005005,14,No es causa del peatón,Ciclomotor,VESPA,PIAGGIO,Negre,B,3,"425339,18","4584465,3",2.1056209999999997,41.406419
2016S001904,19,No es causa del peatón,Motocicleta,RKV 125,KEEWAY,granate,B,5,"425340,94","4585742,06",2.105475,41.417921
2016S001904,19,No es causa del peatón,Taxi,LODGY,DACIA,Negre/Groc,B,26,"425340,94","4585742,06",2.105475,41.417921
2016S008510,21,No es causa del peatón,Motocicleta,YUPPY,HONDA,Negre,Desconocido,Desconocido,"425352,69","4584035,74",2.10583,41.402547999999996
2016S002430,8,Cruzar fuera de paso peatonal,Turismo,XC 60,VOLVO,Blanc,B,23,"425359,81","4582359,21",2.10612,41.387453
2016S008314,17,No es causa del peatón,Motocicleta,UK 110,SUZUKI,Gris,B,9,"425359,81","4582359,21",2.10612,41.387453
2016S008314,17,No es causa del peatón,Turismo,LEON,SEAT,Gris,B,52,"425359,81","4582359,21",2.10612,41.387453
2016S007994,19,No es causa del peatón,Todo terreno,FREELANDER,LAND ROVER,Desconocido,B,30,"425377,98","4582358,44",2.106336,41.387446000000004
2016S007994,19,No es causa del peatón,Turismo,CARENS,KIA,Gris,B,23,"425377,98","4582358,44",2.106336,41.387446000000004
2016S004751,19,No es causa del peatón,Motocicleta,SH 125,HONDA,Blanc,B,13,"425377,98","4582358,44",2.106336,41.387446000000004
2016S004751,19,No es causa del peatón,Turismo,MEGANE,RENAULT,Vermell,B,34,"425377,98","4582358,44",2.106336,41.387446000000004
2016S001706,15,No es causa del peatón,"Camión <= 3,5 Tm",TRADE,NISSAN,Blanc,B,33,"425387,61","4581830,33",2.10652,41.382692
2016S001706,15,No es causa del peatón,Turismo,LEON,SEAT,Desconocido,B,19,"425387,61","4581830,33",2.10652,41.382692
2016S003465,18,No es causa del peatón,Turismo,GOLF,VOLKSWAGEN,Blanc,B,6,"425387,61","4581830,33",2.10652,41.382692
2016S003465,18,No es causa del peatón,Turismo,PASSAT,VOLKSWAGEN,Negre,B,41,"425387,61","4581830,33",2.10652,41.382692
2016S002358,18,No es causa del peatón,Motocicleta,GS 500 E,SUZUKI,Gris,A2,1,"425387,61","4581830,33",2.10652,41.382692
2016S002358,18,No es causa del peatón,Turismo,B-MAX,FORD,Gris,B,25,"425387,61","4581830,33",2.10652,41.382692
2016S003961,20,No es causa del peatón,Ciclomotor,ORBIT,SYM,Blanc,B,4,"425387,61","4581830,33",2.10652,41.382692
2016S003961,20,No es causa del peatón,Turismo,QASHQAI,NISSAN,Blanc,B,8,"425387,61","4581830,33",2.10652,41.382692
2016S004422,10,No es causa del peatón,Turismo,GOLF,VOLKSWAGEN,Vermell,B,Desconocido,"425387,61","4581830,33",2.10652,41.382692
2016S004422,10,No es causa del peatón,Turismo,TOLEDO,SEAT,Gris,B,41,"425387,61","4581830,33",2.10652,41.382692
2016S008138,15,No es causa del peatón,Furgoneta,KANGOO,RENAULT,Blanc,B,5,"425387,61","4581830,33",2.10652,41.382692
2016S008138,15,No es causa del peatón,Motocicleta,SH 125,HONDA,granate,B,5,"425387,61","4581830,33",2.10652,41.382692
2016S009796,8,No es causa del peatón,Motocicleta,BURGMAN,SUZUKI,Negre,A1,25,"425387,61","4581830,33",2.10652,41.382692
2016S009796,8,No es causa del peatón,Turismo,A1,AUDI,Blanc,B,11,"425387,61","4581830,33",2.10652,41.382692
2016S003912,17,No es causa del peatón,Motocicleta,YZR 125,YAMAHA,Blanc,B,4,"425387,61","4581830,33",2.10652,41.382692
2016S003912,17,No es causa del peatón,Turismo,FOCUS,FORD,Gris,B,1,"425387,61","4581830,33",2.10652,41.382692
2016S003912,17,No es causa del peatón,Turismo,GOLF,VOLKSWAGEN,Gris,Desconocido,Desconocido,"425387,61","4581830,33",2.10652,41.382692
2016S007283,19,No es causa del peatón,Turismo,SAXO,CITROEN,Gris,B,10,"425387,61","4581830,33",2.10652,41.382692
2016S007283,19,No es causa del peatón,Turismo,XSARA,CITROEN,Gris,B,47,"425387,61","4581830,33",2.10652,41.382692
2016S009705,9,No es causa del peatón,Motocicleta,WW125EX2,HONDA,Vermell,B,6,"425387,61","4581830,33",2.10652,41.382692
2016S009705,9,No es causa del peatón,Turismo,I 10,HYUNDAI,Vermell,B,34,"425387,61","4581830,33",2.10652,41.382692
2016S009705,9,No es causa del peatón,Turismo,MERIVA,OPEL,Gris,B,9,"425387,61","4581830,33",2.10652,41.382692
2016S009964,14,No es causa del peatón,Ciclomotor,VITALITY,KYMCO,Blau,AM,31,"425387,61","4581830,33",2.10652,41.382692
2016S009964,14,No es causa del peatón,Motocicleta,CB 500,HONDA,Negre,A2,1,"425387,61","4581830,33",2.10652,41.382692
2016S005789,21,No es causa del peatón,Turismo,230,MERCEDES,Altres,B,6,"425387,61","4581830,33",2.10652,41.382692
2016S005789,21,No es causa del peatón,Turismo,C 180,MERCEDES,granate,B,10,"425387,61","4581830,33",2.10652,41.382692
2016S005789,21,No es causa del peatón,Turismo,FOCUS,FORD,Vermell,B,10,"425387,61","4581830,33",2.10652,41.382692
2016S005850,18,No es causa del peatón,"Camión <= 3,5 Tm",Desconocido,MERCEDES-BENZ,Groc,C,22,"425389,21","4582352,54",2.10648,41.387392999999996
2016S005850,18,No es causa del peatón,Furgoneta,TRANSIT,FORD,Blanc,B,23,"425389,21","4582352,54",2.10648,41.387392999999996
2016S005850,18,No es causa del peatón,Turismo,ACCENT,HYUNDAI,Gris,B,17,"425389,21","4582352,54",2.10648,41.387392999999996
2016S008817,20,No es causa del peatón,Turismo,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,"425391,99","4582224,91",2.10652,41.386241
2016S003337,16,No es causa del peatón,Motocicleta,BURGMAN,SUZUKI,Gris,B,16,"425404,36","4581892,29",2.106716,41.383252
2016S003337,16,No es causa del peatón,Turismo,Altea,SEAT,Desconocido,B,14,"425404,36","4581892,29",2.106716,41.383252
2016S007105,9,No es causa del peatón,Motocicleta,Vision,HONDA,Blanc,B,9,"425404,36","4581892,29",2.106716,41.383252
2016S007105,9,No es causa del peatón,Turismo,MEGANE,RENAULT,Blanc,B,14,"425404,36","4581892,29",2.106716,41.383252
2016S009769,12,No es causa del peatón,Turismo,09-5,SAAB,Negre,B,1,"425404,36","4581892,29",2.106716,41.383252
2016S002962,8,No es causa del peatón,Motocicleta,SH 125,HONDA,MarrĂł,B,15,"425404,36","4581892,29",2.106716,41.383252
2016S002962,8,No es causa del peatón,Motocicleta,SH 300,HONDA,Gris,A1,24,"425404,36","4581892,29",2.106716,41.383252
2016S002962,8,No es causa del peatón,Turismo,208,PEUGEOT,Blanc,B,10,"425404,36","4581892,29",2.106716,41.383252
2016S005882,23,No es causa del peatón,Turismo,147,ALFA ROMEO,Negre,B,8,"425404,36","4581892,29",2.106716,41.383252
2016S005882,23,No es causa del peatón,Turismo,IBIZA,SEAT,Platejat,B,7,"425404,36","4581892,29",2.106716,41.383252
2016S007332,0,No es causa del peatón,Motocicleta,IMPALA,MONTESA,Vermell,A2,3,"425404,36","4581892,29",2.106716,41.383252
2016S008533,19,No es causa del peatón,Motocicleta,CBR 125,HONDA,Blau,B,21,"425404,36","4581892,29",2.106716,41.383252
2016S008533,19,No es causa del peatón,Turismo,ONE,MINI,Groc,B,10,"425404,36","4581892,29",2.106716,41.383252
2016S008557,9,No es causa del peatón,"Camión <= 3,5 Tm",35C,IVECO FIAT,Blanc,B,25,"425404,36","4581892,29",2.106716,41.383252
2016S008557,9,No es causa del peatón,Turismo,IBIZA,SEAT,Blau,B,17,"425404,36","4581892,29",2.106716,41.383252
2016S001962,14,No es causa del peatón,Turismo,206,PEUGEOT,Blanc,B,4,"425404,36","4581892,29",2.106716,41.383252
2016S001962,14,No es causa del peatón,Turismo,POLO,VOLKSWAGEN,Gris,B,10,"425404,36","4581892,29",2.106716,41.383252
2016S001756,17,No es causa del peatón,Motocicleta,GRAND DINK,KYMCO,Blanc,B,5,"425404,36","4581892,29",2.106716,41.383252
2016S001756,17,No es causa del peatón,Turismo,XSARA,CITROEN,Blau,B,5,"425404,36","4581892,29",2.106716,41.383252
2016S006270,8,No es causa del peatón,Ciclomotor,SR 50,APRILIA,Negre,B,0,"425405,7","4582997,56",2.106592,41.393204
2016S006270,8,No es causa del peatón,Furgoneta,EXPERT,PEUGEOT,Blanc,B,0,"425405,7","4582997,56",2.106592,41.393204
2016S001833,20,No es causa del peatón,Ciclomotor,LIBERTY 50,PIAGGIO,Gris,B,1,"425414,28","4582304,26",2.106785,41.386963
2016S001833,20,No es causa del peatón,Turismo,RAV - 4,TOYOTA,Negre,B,26,"425414,28","4582304,26",2.106785,41.386963
2016S001431,18,No es causa del peatón,Motocicleta,X Max,YAMAHA,Gris,A,39,"425428,15","4582379,85",2.1069430000000002,41.387640000000005
2016S001431,18,No es causa del peatón,Turismo,PRIMERA,NISSAN,Vermell,B,1,"425428,15","4582379,85",2.1069430000000002,41.387640000000005
2016S004464,18,No es causa del peatón,Motocicleta,SH 125,HONDA,Blau,B,11,"425428,15","4582379,85",2.1069430000000002,41.387640000000005
2016S004464,18,No es causa del peatón,Turismo,FOCUS,FORD,Vermell,B,9,"425428,15","4582379,85",2.1069430000000002,41.387640000000005
2016S009585,9,No es causa del peatón,Motocicleta,DUKE,KTM,Negre,A2,1,"425428,15","4582379,85",2.1069430000000002,41.387640000000005
2016S009585,9,No es causa del peatón,Turismo,CLS,MERCEDES,Negre,B,44,"425428,15","4582379,85",2.1069430000000002,41.387640000000005
2016S004740,14,Otras,Furgoneta,BERLINGO,CITROEN,Blanc,B,43,"425428,15","4582379,85",2.1069430000000002,41.387640000000005
2016S004740,14,Otras,Motocicleta,SH 125,HONDA,Blanc,B,6,"425428,15","4582379,85",2.1069430000000002,41.387640000000005
2016S004740,14,Otras,Turismo,PASSAT,VOLKSWAGEN,Negre,B,9,"425428,15","4582379,85",2.1069430000000002,41.387640000000005
2016S004408,23,No es causa del peatón,Turismo,GOLF,VOLKSWAGEN,Vermell,B,0,"425431,7","4584526,77",2.1067139999999998,41.406977000000005
2016S005913,21,No es causa del peatón,Turismo,CORSA,OPEL,Gris,B,13,"425451,97","4581717,61",2.1073,41.381679999999996
2016S005913,21,No es causa del peatón,Turismo,POLO,VOLKSWAGEN,Negre,B,38,"425451,97","4581717,61",2.1073,41.381679999999996
2016S008887,17,No es causa del peatón,Motocicleta,UX 150,SUZUKI,Blanc,A,26,"425451,97","4581717,61",2.1073,41.381679999999996
2016S008887,17,No es causa del peatón,Turismo,500,FIAT,Gris,B,29,"425451,97","4581717,61",2.1073,41.381679999999996
2016S001491,16,No es causa del peatón,AutobĂşs,Lions,MAN,Verd,D,21,"425452,02","4581628,48",2.107322,41.380878
