IdExpediente,Hora,Turno,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_X,CoordenadaUTM_Y,Longitud,Latitud
2019S005075,18,Tarde,No es causa del peatón,Bicicleta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,429393.43,4582076.68,2.1543111137033013,41.38529488462751
2019S005075,18,Tarde,No es causa del peatón,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,429393.43,4582076.68,2.1543111137033013,41.38529488462751
2019S008513,13,Matutino,No es causa del peatón,Motocicleta,WW125EX2,HONDA,Blanc,B,35,426503.22,4577014.83,2.1203618421503547,41.33944603154944
2019S001554,22,Noche,No es causa del peatón,Turisme,307 SW PK,PEUGEOT,Gris,B,30,428020.43,4576283.26,2.138579971778365,41.332994230069254
2019S001554,22,Noche,No es causa del peatón,Turisme,C3,CITROEN,Negre,B,15,428020.43,4576283.26,2.138579971778365,41.332994230069254
2019S002789,9,Matutino,No es causa del peatón,Veh. mobilitat personal amb motor,XS,JOYOR,Desconocido,Desconocido,Desconocido,429393.43,4582076.68,2.1543111137033013,41.38529488462751
2019S006247,7,Matutino,No es causa del peatón,Motocicleta,T MAX,YAMAHA,Blanc,A2,9,427519.99,4575229.36,2.132725982730078,41.32345726224436
2019S006247,7,Matutino,No es causa del peatón,Tractocamión,,IVECO FIAT,Blanc,B,17,427519.99,4575229.36,2.132725982730078,41.32345726224436
2019S009935,20,Tarde,No es causa del peatón,Taxi,ALTEA XL,SEAT,Negre/Groc,B,43,430594.53,4579494.76,2.168971005971911,41.36214521025368
2019S009935,20,Tarde,No es causa del peatón,Tot terreny,X5 3 0 D,BMW,Negre,B,35,430594.53,4579494.76,2.168971005971911,41.36214521025368
2019S009935,20,Tarde,No es causa del peatón,Turisme,POLO 1.4,VOLKSWAGEN,Gris,B,2,430594.53,4579494.76,2.168971005971911,41.36214521025368
